iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2019"
Inception Date,"May 15, 2000"
Shares Outstanding,"622,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","9,208,441,731.30","4.57","9,208,441,731.30","31,358,562.00","293.65","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","9,033,240,035.90","4.49","9,033,240,035.90","57,281,167.00","157.70","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","5,778,389,703.20","2.87","5,778,389,703.20","3,127,105.00","1,847.84","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","3,708,687,906.25","1.84","3,708,687,906.25","18,069,125.00","205.25","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","3,326,574,696.00","1.65","3,326,574,696.00","14,686,864.00","226.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","3,282,672,609.60","1.63","3,282,672,609.60","23,548,584.00","139.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","3,013,310,064.57","1.50","3,013,310,064.57","2,249,763.00","1,339.39","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","3,000,492,151.28","1.49","3,000,492,151.28","2,244,164.00","1,337.02","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","2,882,586,665.80","1.43","2,882,586,665.80","19,761,340.00","145.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","2,415,071,559.80","1.20","2,415,071,559.80","12,852,962.00","187.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","2,338,859,914.00","1.16","2,338,859,914.00","18,725,860.00","124.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","2,216,879,966.58","1.10","2,216,879,966.58","31,769,561.00","69.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","2,143,540,462.04","1.06","2,143,540,462.04","54,850,063.00","39.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","2,140,579,711.02","1.06","2,140,579,711.02","60,777,391.00","35.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","2,091,300,225.00","1.04","2,091,300,225.00","7,113,750.00","293.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","1,990,235,819.73","0.99","1,990,235,819.73","6,665,447.00","298.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","1,957,344,609.06","0.97","1,957,344,609.06","13,533,462.00","144.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,954,682,865.45","0.97","1,954,682,865.45","32,659,697.00","59.85","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,906,703,013.00","0.95","1,906,703,013.00","31,053,795.00","61.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
