Company,Weight
Microsoft Corp.,4.24134
"Apple, Inc.",3.8016
"Amazon.com, Inc.(a)",2.88212
"Facebook, Inc. Class A(a)",1.71178
"Berkshire Hathaway, Inc. Class B(a)",1.62981
JPMorgan Chase & Co.,1.50362
"Alphabet, Inc. Class C(a)",1.47197
"Alphabet, Inc. Class A(a)",1.46152
Johnson & Johnson,1.36433
Procter & Gamble Co.,1.24375
Exxon Mobil Corp.,1.19374
"Visa, Inc. Class A",1.18693
"AT&T, Inc.",1.10479
"Home Depot, Inc.",1.01629
"Verizon Communications, Inc.",0.99752
Bank of America Corp.,0.97643
"Mastercard, Inc. Class A",0.96873
Walt Disney Co.,0.938
Intel Corp.,0.91212
Chevron Corp.,0.89943
"Merck & Co., Inc.",0.86119
"Cisco Systems, Inc.",0.83813
Coca-Cola Co.,0.83713
"UnitedHealth Group, Inc.",0.8222
"UnitedHealth Group, Inc.",0.8222
Comcast Corp. Class A,0.81696
Boeing Co.,0.81267
Wells Fargo & Co.,0.80809
"Pfizer, Inc.",0.79413
"PepsiCo, Inc.",0.76564
"Walmart, Inc.",0.67438
McDonald’s Corp.,0.65152
"Citigroup, Inc.",0.62354
Abbott Laboratories,0.59088
Medtronic PLC,0.5823
"Adobe Systems, Inc.(a)",0.53697
"salesforce.com, Inc.(a)",0.52016
International Business Machines Corp.,0.51473
Costco Wholesale Corp.,0.50627
Accenture PLC Class A,0.48876
"PayPal Holdings, Inc.(a)",0.48704
"Honeywell International, Inc.",0.48643
Oracle Corp.,0.4841
"Texas Instruments, Inc.",0.48301
"Philip Morris International, Inc.",0.47203
"NIKE, Inc. Class B",0.47018
"Netflix, Inc.(a)",0.46819
"Thermo Fisher Scientific, Inc.",0.4661
"Amgen, Inc.",0.46368
Union Pacific Corp.,0.45672
"NextEra Energy, Inc.",0.45501
"AbbVie, Inc.",0.44595
United Technologies Corp.,0.44118
United Technologies Corp.,0.44118
"Broadcom, Inc.",0.4391
Starbucks Corp.,0.42289
NVIDIA Corp.,0.42236
Linde PLC,0.41886
American Tower Corp. REIT,0.39114
Lockheed Martin Corp.,0.38731
Eli Lilly & Co.,0.37962
3M Co.,0.37754
"QUALCOMM, Inc.",0.36945
Danaher Corp.,0.36846
"Lowe’s Cos., Inc.",0.3391
"United Parcel Service, Inc. Class B",0.33434
"Booking Holdings, Inc.(a)",0.3335
Bristol-Myers Squibb Co.,0.33047
CVS Health Corp.,0.32773
"Fidelity National Information Services, Inc.",0.32542
American Express Co.,0.32265
"Gilead Sciences, Inc.",0.32105
"Mondelez International, Inc. Class A",0.31877
US Bancorp,0.31708
General Electric Co.,0.31061
"Altria Group, Inc.",0.30485
"CME Group, Inc.",0.30141
"Chubb, Ltd.",0.29447
"Caterpillar, Inc.",0.28394
Celgene Corp.(a),0.28121
"Automatic Data Processing, Inc.",0.27991
Duke Energy Corp.,0.27805
Stryker Corp.,0.27733
"Intuit, Inc.",0.27634
Becton Dickinson and Co.,0.27187
"TJX Cos., Inc.",0.26928
"Goldman Sachs Group, Inc.",0.26794
"Charter Communications, Inc. Class A(a)",0.26623
"Dominion Energy, Inc.",0.26614
Southern Co.,0.25798
ConocoPhillips,0.25275
Colgate-Palmolive Co.,0.25157
"PNC Financial Services Group, Inc.",0.24935
"Intuitive Surgical, Inc.(a)",0.24817
"Anthem, Inc.",0.24601
"S&P Global, Inc.",0.24003
"Zoetis, Inc.",0.23695
Northrop Grumman Corp.,0.23567
"Fiserv, Inc.(a)",0.23503
Crown Castle International Corp. REIT,0.23009
Cigna Corp.(a),0.22914
Boston Scientific Corp.(a),0.22545
CSX Corp.,0.22091
Allergan PLC,0.22058
Target Corp.,0.21868
Raytheon Co.,0.21755
Morgan Stanley,0.21416
"Prologis, Inc. REIT",0.21402
"DuPont de Nemours, Inc.",0.21284
Deere & Co.,0.2128
"BlackRock, Inc.",0.20917
"Intercontinental Exchange, Inc.(b)",0.20728
"Marsh & McLennan Cos., Inc.",0.20365
"Ecolab, Inc.",0.19809
"Equinix, Inc. REIT",0.19548
Kimberly-Clark Corp.,0.19498
Charles Schwab Corp.,0.19445
"Air Products & Chemicals, Inc.",0.19443
"American International Group, Inc.",0.193
"Simon Property Group, Inc. REIT",0.19099
"Global Payments, Inc.",0.19061
Norfolk Southern Corp.,0.19021
"Micron Technology, Inc.(a)",0.18931
General Motors Co.,0.18816
"Schlumberger, Ltd.",0.18811
Exelon Corp.,0.18729
"L3Harris Technologies, Inc.",0.18614
"Applied Materials, Inc.",0.18418
"Illinois Tool Works, Inc.",0.18406
"American Electric Power Co., Inc.",0.18359
Phillips 66,0.18352
Edwards Lifesciences Corp.(a),0.18305
Aon PLC,0.18242
Sherwin-Williams Co.,0.18037
"Waste Management, Inc.",0.17938
Progressive Corp.,0.17917
"Baxter International, Inc.",0.17844
"Illumina, Inc.(a)",0.17762
"Estee Lauder Cos., Inc. Class A",0.17586
"Vertex Pharmaceuticals, Inc.(a)",0.17327
"Biogen, Inc.(a)",0.17159
"EOG Resources, Inc.",0.17149
General Dynamics Corp.,0.17083
Capital One Financial Corp.,0.1706
"Walgreens Boots Alliance, Inc.",0.16766
"Analog Devices, Inc.",0.16496
Dollar General Corp.,0.16387
Emerson Electric Co.,0.16372
BB&T Corp.,0.1632
Sysco Corp.,0.1628
"Activision Blizzard, Inc.",0.16187
"Ross Stores, Inc.",0.16112
Sempra Energy,0.16071
Marathon Petroleum Corp.,0.16068
"Kinder Morgan, Inc.",0.15941
Occidental Petroleum Corp.,0.15849
"Aflac, Inc.",0.15571
"Travelers Cos., Inc.",0.15511
Bank of New York Mellon Corp.,0.15496
"MetLife, Inc.",0.14999
"Roper Technologies, Inc.",0.14782
"Welltower, Inc. REIT",0.14657
Public Storage REIT,0.14619
"Prudential Financial, Inc.",0.14578
Ford Motor Co.,0.14332
Allstate Corp.,0.14295
"Dow, Inc.",0.14211
Valero Energy Corp.,0.14196
Eaton Corp. PLC,0.14014
Johnson Controls International PLC,0.13945
FedEx Corp.,0.13881
"Constellation Brands, Inc. Class A",0.13836
"Yum! Brands, Inc.",0.13804
"Humana, Inc.",0.13754
"Marriott International, Inc. Class A",0.13722
"Xcel Energy, Inc.",0.13596
Moody’s Corp.,0.13457
Lam Research Corp.,0.13347
