iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2014"
Inception Date,"May 15, 2000"
Shares Outstanding,"336,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","2,506,968,220.80","3.54","2,506,968,220.80","22,712,160.00","110.38","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","1,516,048,073.85","2.14","1,516,048,073.85","16,398,573.00","92.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,482,743,920.50","2.09","1,482,743,920.50","31,921,290.00","46.45","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","1,133,520,081.97","1.60","1,133,520,081.97","10,839,821.00","104.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","1,060,340,381.10","1.50","1,060,340,381.10","7,061,874.00","150.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","1,002,196,818.62","1.42","1,002,196,818.62","18,281,591.00","54.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","982,734,657.87","1.39","982,734,657.87","38,889,381.00","25.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","953,183,978.00","1.35","953,183,978.00","10,464,200.00","91.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","905,944,438.98","1.28","905,944,438.98","14,476,581.00","62.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","821,256,542.76","1.16","821,256,542.76","7,320,882.00","112.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","760,059,314.70","1.07","760,059,314.70","24,399,978.00","31.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Telecommunications","Equity","751,762,412.26","1.06","751,762,412.26","16,070,167.00","46.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","728,587,281.28","1.03","728,587,281.28","40,725,952.00","17.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","679,493,851.13","0.96","679,493,851.13","18,723,997.00","36.29","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Telecommunications","Equity","674,726,528.75","0.95","674,726,528.75","20,087,125.00","33.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","644,539,090.66","0.91","644,539,090.66","15,266,203.00","42.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","634,815,165.18","0.90","634,815,165.18","11,731,938.00","54.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Information Technology","Equity","631,738,082.60","0.89","631,738,082.60","8,097,130.00","78.02","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","626,975,456.76","0.89","626,975,456.76","11,040,244.00","56.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOGL","GOOGLE INC CLASS A","Information Technology","Equity","585,753,651.86","0.83","585,753,651.86","1,103,821.00","530.66","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","GOOGLE INC CLASS C","Information Technology","Equity","580,526,553.60","0.82","580,526,553.60","1,102,824.00","526.40","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST A CORP","Consumer Discretionary","Equity","578,764,493.78","0.82","578,764,493.78","9,976,978.00","58.01","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","571,856,292.00","0.81","571,856,292.00","3,564,300.00","160.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Consumer Discretionary","Equity","569,047,848.91","0.80","569,047,848.91","6,041,489.00","94.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","563,354,659.68","0.80","563,354,659.68","12,527,344.00","44.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","550,818,025.10","0.78","550,818,025.10","19,802,913.00","27.82","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","550,712,918.88","0.78","550,712,918.88","5,842,488.00","94.26","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","548,047,727.52","0.77","548,047,727.52","5,795,767.00","94.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","535,709,356.44","0.76","535,709,356.44","5,103,452.00","104.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART STORES INC","Consumer Staples","Equity","525,265,782.88","0.74","525,265,782.88","6,116,276.00","85.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","495,925,604.40","0.70","495,925,604.40","1,891,402.00","262.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
