Company,Weight
"Apple, Inc.(a)",3.43107
Exxon Mobil Corp.,3.42899
International Business Machines Corp.,2.02958
Microsoft Corp.,1.80195
Chevron Corp.,1.80054
Johnson & Johnson,1.69657
The Procter & Gamble Co.,1.68543
"AT&T, Inc.",1.64091
General Electric Co.,1.56983
TheCoca-ColaCo.,1.5061
"Pfizer, Inc.",1.33947
"Google, Inc. (Class A)(a)",1.25888
Wells Fargo & Co.,1.23743
"Berkshire Hathaway, Inc. (Class B)(a)",1.21297
JPMorgan Chase & Co.,1.13994
Oracle Corp.,1.1025
Intel Corp.,1.08778
"Philip Morris International, Inc.",1.06399
"Verizon Communications, Inc.",1.01228
"Merck & Co., Inc.",0.97738
"PepsiCo, Inc.",0.95204
"Wal-Mart Stores, Inc.",0.88639
McDonald’s Corp.,0.87972
ConocoPhillips,0.84335
"Cisco Systems, Inc.",0.82792
"QUALCOMM, Inc.",0.79408
"Schlumberger, Ltd.",0.78251
Abbott Laboratories,0.7736
"Amazon.com, Inc.(a)",0.76236
"Citigroup, Inc.",0.72645
United Technologies Corp.,0.62077
Bank of America Corp.,0.60271
"United Parcel Service, Inc. (Class B)",0.60134
"Kraft Foods, Inc. (Class A)",0.57647
Occidental Petroleum Corp.,0.56472
Comcast Corp. (Class A),0.55784
The Walt Disney Co.,0.54339
"Altria Group, Inc.",0.53928
Bristol-Myers Squibb Co.,0.51826
"The Home Depot, Inc.",0.49915
3M Co.,0.49382
"Amgen, Inc.",0.49302
"UnitedHealth Group, Inc.",0.48187
"The Goldman Sachs Group, Inc.",0.46412
"Caterpillar, Inc.",0.46361
American Express Co.,0.45275
Hewlett-Packard Co.,0.45091
U.S. Bancorp,0.43905
CVS Caremark Corp.,0.43846
The Boeing Co.,0.43588
"Visa, Inc. (Class A)",0.42573
EMC Corp.(a),0.42128
Colgate-Palmolive Co.,0.41977
Union Pacific Corp.,0.38782
Eli Lilly & Co.,0.36472
E. I. du Pont de Nemours & Co.,0.3623
Ford Motor Co.(a),0.35557
Southern Co.,0.35332
Costco Wholesale Corp.,0.34729
News Corp. (Class A),0.34225
"Medtronic, Inc.",0.34079
"Honeywell International, Inc.",0.33455
Accenture PLC (Class A),0.33115
"eBay, Inc.(a)",0.32878
"MasterCard, Inc. (Class A)",0.32873
Target Corp.,0.32139
"NIKE, Inc. (Class B)",0.31397
"Simon Property Group, Inc.",0.31237
Monsanto Co.,0.3115
"Baxter International, Inc.",0.31
"Time Warner, Inc.",0.30383
Anadarko Petroleum Corp.,0.30366
DIRECTV (Class A)(a),0.30242
Newmont Mining Corp.,0.30061
"Texas Instruments, Inc.",0.29958
Emerson Electric Co.,0.29869
Apache Corp.,0.29784
"Gilead Sciences, Inc.(a)",0.29051
Walgreen Co.,0.28912
"MetLife, Inc.",0.28658
"Dominion Resources, Inc.",0.28058
"Freeport-McMoRan Copper & Gold, Inc.",0.27923
