iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 30, 2011"
Inception Date,"May 15, 2000"
Shares Outstanding,"208,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"OSHWQ","ORCHARD SUPPLY HARDWARE STORES COR","Consumer Discretionary","Equity","14,761.76","0.00","-","3,926.00","3.76","United States","Non-Nms Quotation Service (Nnqs)","USD","1.00","USD","-"
"OSHSQ","ORCHARD SUPPLY HARDWARE STORES PRE","Consumer Discretionary","Equity","14,761.76","0.00","-","3,926.00","3.76","United States","Non-Nms Quotation Service (Nnqs)","USD","1.00","USD","-"
"SHLDQ","SEARS HOLDINGS CORP","Consumer Discretionary","Equity","2,811,195.24","0.01","-","88,458.00","31.78","United States","Non-Nms Quotation Service (Nnqs)","USD","1.00","USD","-"
"TIE","TITANIUM METALS CORP.","Materials","Equity","2,879,905.00","0.01","-","192,250.00","14.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FHI","FEDERATED HERMES INC CLASS B","Financials","Equity","3,235,979.40","0.01","-","213,596.00","15.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SVU","SUPERVALU INC","Consumer Staples","Equity","3,964,987.88","0.02","-","488,299.00","8.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AN","AUTONATION INC","Consumer Discretionary","Equity","4,054,151.46","0.02","-","109,958.00","36.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPWR","COMPUWARE CORP.","Information Technology","Equity","4,184,918.40","0.02","-","502,995.00","8.32","United States","NASDAQ","USD","1.00","USD","-"
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Consumer Discretionary","Equity","4,240,996.55","0.02","-","11,255.00","376.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FSLR","FIRST SOLAR INC","Information Technology","Equity","4,530,051.84","0.02","-","134,184.00","33.76","United States","NASDAQ","USD","1.00","USD","-"
"ETFC","E TRADE FINANCIAL CORP","Financials","Equity","4,644,890.84","0.02","-","583,529.00","7.96","United States","NASDAQ","USD","1.00","USD","-"
"DF","DEAN FOODS CO.","Consumer Staples","Equity","4,732,526.40","0.02","-","422,547.00","11.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FHN","FIRST HORIZON CORP","Financials","Equity","4,854,112.00","0.02","-","606,764.00","8.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","4,891,877.98","0.02","-","775,258.00","6.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"THC","TENET HEALTHCARE CORP.","Health Care","Equity","5,107,135.59","0.02","-","995,543.00","5.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PKI","PERKINELMER INC","Health Care","Equity","5,202,920.00","0.02","-","260,146.00","20.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DV","DEVRY EDUCATION GROUP INC","Consumer Discretionary","Equity","5,338,094.16","0.02","-","138,796.00","38.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LXK","LEXMARK INTERNATIONAL INC.","Information Technology","Equity","5,447,422.68","0.02","-","164,724.00","33.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNS1","VIAVI SOLUTIONS INC","Information Technology","Equity","5,476,583.88","0.02","-","524,577.00","10.44","United States","Boerse Stuttgart","USD","1.00","USD","-"
"TRIP","TRIPADVISOR INC","Consumer Discretionary","Equity","5,504,931.23","0.02","-","218,363.00","25.21","United States","NASDAQ","USD","1.00","USD","-"
"BIG","BIG LOTS INC","Consumer Discretionary","Equity","5,688,695.04","0.02","-","150,654.00","37.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TER","TERADYNE INC","Information Technology","Equity","5,739,838.34","0.02","-","421,118.00","13.63","United States","NASDAQ","USD","1.00","USD","-"
"PCS","METROPCS COMMUNICATIONS INC.","Telecommunication Services","Equity","5,814,922.96","0.02","-","669,922.00","8.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PDCO","PATTERSON COMPANIES INC","Health Care","Equity","5,945,505.12","0.02","-","201,406.00","29.52","United States","NASDAQ","USD","1.00","USD","-"
"HAR","HARMAN INTERNATIONAL INC","Consumer Discretionary","Equity","6,101,920.32","0.02","-","160,408.00","38.04","United States","-","USD","1.00","USD","-"
"RRD","RR DONNELLEY AND SONS","Industrials","Equity","6,226,732.59","0.02","-","431,513.00","14.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"R","RYDER SYSTEM INC","Industrials","Equity","6,256,065.92","0.02","-","117,728.00","53.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXPE","EXPEDIA GROUP INC","Consumer Discretionary","Equity","6,329,349.06","0.02","-","218,103.00","29.02","United States","NASDAQ","USD","1.00","USD","-"
"NVLS","NOVELLUS SYSTEMS INC.","Information Technology","Equity","6,357,132.27","0.02","-","153,963.00","41.29","United States","NASDAQ","USD","1.00","USD","-"
"AIV","APARTMENT INVESTMENT AND MANAGEMEN","Financials","Equity","6,358,693.41","0.02","-","277,551.00","22.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNA","SNAP ON INC","Industrials","Equity","6,770,728.72","0.03","-","133,756.00","50.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LM","LEGG MASON INC","Financials","Equity","6,864,495.30","0.03","-","285,426.00","24.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZION","ZIONS BANCORPORATION","Financials","Equity","6,891,340.28","0.03","-","423,301.00","16.28","United States","NASDAQ","USD","1.00","USD","-"
"AVY","AVERY DENNISON CORP","Industrials","Equity","6,979,995.00","0.03","-","243,375.00","28.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"URBN","URBAN OUTFITTERS INC","Consumer Discretionary","Equity","7,019,339.08","0.03","-","254,693.00","27.56","United States","NASDAQ","USD","1.00","USD","-"
"BMS","BEMIS INC","Materials","Equity","7,157,235.20","0.03","-","237,940.00","30.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","7,180,498.62","0.03","-","292,962.00","24.51","United States","NASDAQ","USD","1.00","USD","-"
"CVC","CABLEVISION SYSTEMS CORP CLASS A","Consumer Discretionary","Equity","7,209,682.20","0.03","-","507,010.00","14.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSS","TOTAL SYSTEM SERVICES INC","Information Technology","Equity","7,263,821.16","0.03","-","371,361.00","19.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEN","LENNAR A CORP","Consumer Discretionary","Equity","7,269,085.20","0.03","-","369,928.00","19.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGNA","GANNETT CO INC","Consumer Discretionary","Equity","7,298,121.46","0.03","-","545,858.00","13.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","7,305,789.60","0.03","-","1,352,924.00","5.40","United States","NASDAQ","USD","1.00","USD","-"
"OI","O I GLASS INC","Materials","Equity","7,308,449.94","0.03","-","377,113.00","19.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GNW","GENWORTH FINANCIAL A INC","Financials","Equity","7,386,932.80","0.03","-","1,127,776.00","6.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEG","LEGGETT & PLATT INC","Consumer Discretionary","Equity","7,411,069.44","0.03","-","321,661.00","23.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOLX","MOLEX INC.","Information Technology","Equity","7,500,271.70","0.03","-","314,345.00","23.86","United States","NASDAQ","USD","1.00","USD","-"
"HCBK","HUDSON CITY BANCORP INC","Financials","Equity","7,585,618.75","0.03","-","1,213,699.00","6.25","United States","NASDAQ","USD","1.00","USD","-"
"TSO","TESORO CORP","Energy","Equity","7,615,126.40","0.03","-","325,990.00","23.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SEE","SEALED AIR CORP","Materials","Equity","7,640,035.30","0.03","-","443,930.00","17.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GME","GAMESTOP CORP CLASS A","Consumer Discretionary","Equity","7,720,755.45","0.03","-","319,965.00","24.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
