iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2009"
Inception Date,"May 15, 2000"
Shares Outstanding,"194,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XOM","EXXON MOBIL CORP","Energy","Equity","707,012,876.82","3.25","-","10,368,278.00","68.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","514,410,053.15","2.37","-","16,871,435.00","30.49","United States","NASDAQ","USD","1.00","USD","-"
"AAPL*","APPLE INC","Information Technology","Equity","414,796,622.76","1.91","-","1,967,166.00","210.86","United States","Bolsa Mexicana De Valores","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","388,135,883.79","1.79","-","6,026,019.00","64.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","386,893,004.82","1.78","-","6,381,214.00","60.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","375,546,733.10","1.73","-","2,868,959.00","130.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Telecommunication Services","Equity","361,253,667.24","1.66","-","12,888,108.00","28.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE","Financials","Equity","358,637,438.70","1.65","-","8,606,610.00","41.67","United States","London Stock Exchange","USD","1.00","USD","-"
"GEC","GENERAL ELECTRIC","Industrials","Equity","351,845,078.61","1.62","-","23,254,797.00","15.13","United States","Deutsche Boerse Xetra","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","337,354,166.08","1.55","-","4,381,792.00","76.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","326,839,589.81","1.50","-","21,702,496.00","15.06","United States","SIX Swiss Exchange","USD","1.00","USD","-"
"GOOGL","GOOGLE INC CLASS A","Information Technology","Equity","326,509,987.08","1.50","-","526,646.00","619.98","United States","Spot Regulated Market - Bvb","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","320,587,072.02","1.48","-","17,624,358.00","18.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC*","WELLS FARGO","Financials","Equity","301,285,375.48","1.39","-","11,162,852.00","26.99","United States","Bolsa Mexicana De Valores","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","300,781,944.54","1.38","-","12,563,991.00","23.94","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","288,470,559.00","1.33","-","5,060,887.00","57.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HPQ","HEWLETT PACKARD","Information Technology","Equity","266,746,595.40","1.23","-","5,178,540.00","51.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","249,082,932.95","1.15","-","4,660,111.00","53.45","United States","Bolsa De Valores De Lima","USD","1.00","USD","-"
"INCO","INTEL CORPORATION CORP","Information Technology","Equity","246,031,752.00","1.13","-","12,060,380.00","20.40","United States","Euronext Amsterdam","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","243,763,455.58","1.12","-","6,671,140.00","36.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","209,578,274.88","0.96","-","8,540,272.00","24.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
