iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 30, 2016"
Inception Date,"May 15, 2000"
Shares Outstanding,"403,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","2,895,895,988.58","3.20","2,895,895,988.58","25,003,419.00","115.82","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,265,557,102.38","2.50","2,265,557,102.38","36,458,917.00","62.14","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","1,755,015,440.00","1.94","1,755,015,440.00","19,444,000.00","90.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","1,469,699,061.37","1.62","1,469,699,061.37","12,756,697.00","115.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","1,451,149,473.00","1.60","1,451,149,473.00","8,903,850.00","162.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","1,447,827,464.96","1.60","1,447,827,464.96","16,778,624.00","86.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","1,386,733,091.26","1.53","1,386,733,091.26","1,849,298.00","749.87","United States","NASDAQ","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","1,310,801,590.80","1.45","1,310,801,590.80","41,481,063.00","31.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Information Technology","Equity","1,262,814,571.20","1.39","1,262,814,571.20","10,976,224.00","115.05","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Telecommunications","Equity","1,224,668,064.29","1.35","1,224,668,064.29","28,795,393.00","42.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","1,168,045,207.56","1.29","1,168,045,207.56","21,194,796.00","55.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Information Technology","Equity","1,100,209,844.25","1.21","1,100,209,844.25","1,388,365.00","792.45","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Information Technology","Equity","1,074,075,517.48","1.19","1,074,075,517.48","1,391,614.00","771.82","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","1,055,022,219.04","1.16","1,055,022,219.04","12,547,838.00","84.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","1,047,163,460.20","1.16","1,047,163,460.20","47,382,962.00","22.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","1,041,860,155.60","1.15","1,041,860,155.60","8,851,828.00","117.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Telecommunications","Equity","1,020,385,016.34","1.13","1,020,385,016.34","19,115,493.00","53.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","924,210,280.00","1.02","924,210,280.00","28,454,750.00","32.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","805,969,053.63","0.89","805,969,053.63","22,221,369.00","36.27","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","794,133,672.15","0.88","794,133,672.15","13,362,505.00","59.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST A CORP","Consumer Discretionary","Equity","771,689,404.30","0.85","771,689,404.30","11,175,806.00","69.05","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","765,865,496.32","0.85","765,865,496.32","5,712,004.00","134.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","761,091,199.19","0.84","761,091,199.19","12,928,337.00","58.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","754,625,068.80","0.83","754,625,068.80","18,201,280.00","41.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Consumer Discretionary","Equity","715,514,593.50","0.79","715,514,593.50","6,865,425.00","104.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","714,275,804.32","0.79","714,275,804.32","4,463,108.00","160.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","711,314,159.42","0.78","711,314,159.42","23,537,861.00","30.22","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","703,630,576.83","0.78","703,630,576.83","6,724,941.00","104.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","683,234,403.40","0.75","683,234,403.40","8,757,170.00","78.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
