iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2013"
Inception Date,"May 15, 2000"
Shares Outstanding,"289,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL*","APPLE INC","Information Technology","Equity","1,640,704,717.74","3.06","-","2,924,034.00","561.11","United States","Bolsa Mexicana De Valores","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","1,436,716,463.60","2.68","-","14,196,803.00","101.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOGL","GOOGLE INC CLASS A","Information Technology","Equity","1,022,049,415.86","1.90","-","911,966.00","1,120.71","United States","Spot Regulated Market - Bvb","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","924,066,861.81","1.72","-","24,687,867.00","37.43","United States","NASDAQ","USD","1.00","USD","-"
"GEC","GENERAL ELECTRIC","Industrials","Equity","921,619,560.68","1.72","-","32,879,756.00","28.03","United States","Deutsche Boerse Xetra","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","839,805,745.74","1.56","-","9,169,186.00","91.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","780,698,991.72","1.45","-","6,250,092.00","124.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","719,161,693.25","1.34","-","8,833,825.00","81.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE","Financials","Equity","714,448,814.96","1.33","-","12,216,977.00","58.48","United States","London Stock Exchange","USD","1.00","USD","-"
"WFC*","WELLS FARGO","Financials","Equity","707,256,681.40","1.32","-","15,578,341.00","45.40","United States","Bolsa Mexicana De Valores","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","693,563,076.96","1.29","-","5,849,891.00","118.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","645,152,093.76","1.20","-","21,062,752.00","30.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","622,211,142.97","1.16","-","3,317,221.00","187.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Telecommunication Services","Equity","601,953,193.68","1.12","-","17,120,398.00","35.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","539,715,568.41","1.01","-","34,663,813.00","15.57","United States","SIX Swiss Exchange","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","513,642,642.12","0.96","-","9,856,892.00","52.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","509,855,042.70","0.95","-","12,342,170.00","41.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","480,539,158.47","0.89","-","1,204,993.00","398.79","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","475,276,751.95","0.89","-","9,496,039.00","50.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Telecommunication Services","Equity","457,030,157.22","0.85","-","9,300,573.00","49.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","453,680,595.07","0.84","-","5,206,939.00","87.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Consumer Discretionary","Equity","440,102,445.69","0.82","-","8,469,209.00","51.97","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","436,348,183.64","0.81","-","11,404,814.00","38.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INCO","INTEL CORPORATION CORP","Information Technology","Equity","419,396,494.44","0.78","-","16,155,489.00","25.96","United States","Euronext Amsterdam","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","413,748,951.09","0.77","-","5,257,961.00","78.69","United States","Bolsa De Valores De Lima","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","413,388,801.54","0.77","-","4,984,191.00","82.94","United States","NASDAQ","USD","1.00","USD","-"
"QCI","QUALCOMM INC","Information Technology","Equity","407,676,753.00","0.76","-","5,490,596.00","74.25","United States","Deutsche Boerse Xetra","USD","1.00","USD","-"
"DIS","WALT DISNEY","Consumer Discretionary","Equity","405,784,618.80","0.76","-","5,311,317.00","76.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","390,098,473.80","0.73","-","17,376,324.00","22.45","United States","NASDAQ","USD","1.00","USD","-"
"SLBA","SCHLUMBERGER LTD.","Energy","Equity","385,667,465.93","0.72","-","4,279,963.00","90.11","United States","Euronext Amsterdam","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","376,845,889.70","0.70","-","4,576,705.00","82.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","374,501,382.75","0.70","-","4,983,385.00","75.15","United States","NASDAQ","USD","1.00","USD","-"
"VISA","VISA INC","Information Technology","Equity","368,540,744.32","0.69","-","1,655,024.00","222.68","United States","Spot Regulated Market - Bvb","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","313,780,659.56","0.58","-","3,233,852.00","97.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","312,222,818.00","0.58","-","2,743,610.00","113.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","306,679,381.00","0.57","-","2,246,900.00","136.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FB*","FACEBOOK CLASS A INC","Information Technology","Equity","292,164,751.14","0.54","-","5,345,129.00","54.66","United States","Bolsa Mexicana De Valores","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","291,549,035.25","0.54","-","2,078,781.00","140.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","284,418,565.45","0.53","-","5,351,243.00","53.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","281,303,360.55","0.52","-","3,981,647.00","70.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","281,117,251.72","0.52","-","336,482.00","835.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","279,785,839.52","0.52","-","2,450,822.00","114.16","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Consumer Staples","Equity","276,851,368.20","0.52","-","3,868,260.00","71.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","273,041,483.41","0.51","-","5,170,261.00","52.81","United States","Nyse Euronext - Euronext Paris","USD","1.00","USD","-"
"AEC1","AMERICAN EXPRESS","Financials","Equity","271,674,835.06","0.51","-","2,994,322.00","90.73","United States","Boerse Berlin","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","251,470,296.00","0.47","-","1,496,847.00","168.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","249,545,134.96","0.46","-","6,500,264.00","38.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","249,136,418.10","0.46","-","2,619,731.00","95.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","246,375,199.50","0.46","-","3,271,915.00","75.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG*","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","244,287,216.70","0.45","-","4,785,254.00","51.05","United States","Bolsa Mexicana De Valores","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","244,114,185.16","0.45","-","2,323,127.00","105.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","242,827,942.22","0.45","-","1,369,897.00","177.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","239,797,068.40","0.45","-","5,935,571.00","40.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALD","HONEYWELL INTERNATIONAL INC","Industrials","Equity","233,014,971.95","0.43","-","2,550,235.00","91.37","United States","Boerse Berlin","USD","1.00","USD","-"
"CELG","CELGENE CORP","Health Care","Equity","226,293,872.64","0.42","-","1,339,334.00","168.96","United States","NASDAQ","USD","1.00","USD","-"
"FOXA","TWENTY FIRST CENTURY FOX INC CLASS","Consumer Discretionary","Equity","224,374,838.62","0.42","-","6,377,909.00","35.18","United States","NASDAQ","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","214,777,223.25","0.40","-","767,747.00","279.75","United States","NASDAQ","USD","1.00","USD","-"
"EBAY","EBAY INC","Information Technology","Equity","207,864,642.59","0.39","-","3,786,931.00","54.89","United States","NASDAQ","USD","1.00","USD","-"
"TWX*","TIME WARNER INC","Consumer Discretionary","Equity","205,013,054.40","0.38","-","2,940,520.00","69.72","United States","Bolsa Mexicana De Valores","USD","1.00","USD","-"
"KTF","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","201,219,884.00","0.37","-","5,700,280.00","35.30","United States","Boerse Stuttgart","USD","1.00","USD","-"
"MON","MONSANTO","Materials","Equity","199,196,420.85","0.37","-","1,709,107.00","116.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR","Consumer Discretionary","Equity","197,817,213.57","0.37","-","12,820,299.00","15.43","United States","SIX Swiss Exchange","USD","1.00","USD","-"
"MWZ","METLIFE INC","Financials","Equity","196,458,059.20","0.37","-","3,643,510.00","53.92","United States","Deutsche Boerse Xetra","USD","1.00","USD","-"
"DD","E I DU PONT DE NEMOURS","Materials","Equity","195,567,301.49","0.36","-","3,010,117.00","64.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCLN","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","194,312,596.00","0.36","-","167,165.00","1,162.40","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","192,622,317.11","0.36","-","5,025,367.00","38.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","192,009,877.02","0.36","-","2,449,418.00","78.39","United States","NASDAQ","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","190,998,551.44","0.36","-","2,428,771.00","78.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","187,827,408.36","0.35","-","2,068,356.00","90.81","United States","SIX Swiss Exchange","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","186,283,841.96","0.35","-","2,856,676.00","65.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","186,233,017.77","0.35","-","3,245,043.00","57.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"4XS","EXPRESS SCRIPTS HOLDING","Health Care","Equity","183,954,064.64","0.34","-","2,618,936.00","70.24","United States","Deutsche Boerse Xetra","USD","1.00","USD","-"
