iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2010"
Inception Date,"May 15, 2000"
Shares Outstanding,"204,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Consumer Discretionary","Equity","5,427,825.00","0.02","-","12,350.00","439.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","16,690,413.11","0.06","-","61,229.00","272.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDP","MEREDITH CORP","Consumer Discretionary","Equity","2,823,178.05","0.01","-","81,477.00","34.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","22,782,780.25","0.09","-","88,391.00","257.75","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Consumer Discretionary","Equity","17,141,643.40","0.07","-","97,562.00","175.70","United States","NASDAQ","USD","1.00","USD","-"
"SHLDQ","SEARS HOLDINGS CORP","Consumer Discretionary","Equity","7,299,332.50","0.03","-","98,974.00","73.75","United States","Non-Nms Quotation Service (Nnqs)","USD","1.00","USD","-"
"GAS.2","NICOR INC","Utilities","Equity","5,135,819.52","0.02","-","102,881.00","49.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCLN","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","44,121,107.85","0.17","-","110,427.00","399.55","United States","NASDAQ","USD","1.00","USD","-"
"DNB","DUN & BRADSTREET CORP","Industrials","Equity","9,196,460.61","0.04","-","112,029.00","82.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"R","RYDER SYSTEM INC","Industrials","Equity","6,125,348.32","0.02","-","116,363.00","52.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FSLR","FIRST SOLAR INC","Information Technology","Equity","15,793,920.54","0.06","-","121,361.00","130.14","United States","NASDAQ","USD","1.00","USD","-"
"FLS","FLOWSERVE CORP","Industrials","Equity","14,972,601.36","0.06","-","125,588.00","119.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","18,021,421.46","0.07","-","130,486.00","138.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNA","SNAP ON INC","Industrials","Equity","7,385,613.72","0.03","-","130,534.00","56.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DV","DEVRY EDUCATION GROUP INC","Consumer Discretionary","Equity","6,728,427.32","0.03","-","140,234.00","47.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AN","AUTONATION INC","Consumer Discretionary","Equity","4,054,906.20","0.02","-","143,791.00","28.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RL","POLO RALPH LAUREN CORP.","Consumer Discretionary","Equity","16,128,988.12","0.06","-","145,411.00","110.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MX4A","CME GROUP INC CLASS A","Financials","Equity","48,498,664.50","0.19","-","150,734.00","321.75","United States","Boerse Berlin","USD","1.00","USD","-"
"HRL","HORMEL FOODS CORP","Consumer Staples","Equity","7,976,107.26","0.03","-","155,601.00","51.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HAR","HARMAN INTERNATIONAL INC","Consumer Discretionary","Equity","7,246,737.10","0.03","-","156,517.00","46.30","United States","-","USD","1.00","USD","-"
"DOFSQ","DIAMOND OFFSHORE DRILLING INC","Energy","Equity","10,479,665.79","0.04","-","156,717.00","66.87","United States","Non-Nms Quotation Service (Nnqs)","USD","1.00","USD","-"
"CF","CF INDUSTRIES HOLDINGS INC","Materials","Equity","21,621,432.15","0.08","-","159,981.00","135.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CERN","CERNER CORP","Health Care","Equity","15,183,127.14","0.06","-","160,261.00","94.74","United States","NASDAQ","USD","1.00","USD","-"
"EMN","EASTMAN CHEMICAL","Materials","Equity","13,641,643.68","0.05","-","162,246.00","84.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FMC","FMC CORP","Materials","Equity","13,025,505.27","0.05","-","163,043.00","79.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTALEXCHANGE INC.","Financials","Equity","19,603,272.90","0.08","-","164,526.00","119.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARG","AIRGAS INC","Materials","Equity","10,510,019.28","0.04","-","168,268.00","62.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEPH","CEPHALON INC","Health Care","Equity","10,442,653.68","0.04","-","169,194.00","61.72","United States","NASDAQ","USD","1.00","USD","-"
"WYNN","WYNN RESORTS LTD","Consumer Discretionary","Equity","17,660,276.48","0.07","-","170,072.00","103.84","United States","NASDAQ","USD","1.00","USD","-"
"BIG","BIG LOTS INC","Consumer Discretionary","Equity","5,194,100.12","0.02","-","170,522.00","30.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WHR","WHIRLPOOL CORP","Consumer Discretionary","Equity","15,189,397.02","0.06","-","170,994.00","88.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TEG","INTEGRYS ENERGY GROUP INC.","Utilities","Equity","8,458,543.17","0.03","-","174,367.00","48.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LXK","LEXMARK INTERNATIONAL INC.","Information Technology","Equity","6,144,963.96","0.02","-","176,478.00","34.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materials","Equity","9,996,304.98","0.04","-","179,822.00","55.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMK","TORCHMARK CORP","Financials","Equity","10,756,963.62","0.04","-","180,063.00","59.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FFIV","F5 NETWORKS INC","Information Technology","Equity","23,671,808.72","0.09","-","181,867.00","130.16","United States","NASDAQ","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Financials","Equity","21,590,241.40","0.08","-","191,828.00","112.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRCL","STERICYCLE INC","Industrials","Equity","15,567,308.68","0.06","-","192,379.00","80.92","United States","NASDAQ","USD","1.00","USD","-"
"VFC","VF CORP","Consumer Discretionary","Equity","16,820,440.04","0.07","-","195,178.00","86.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANF","ABERCROMBIE AND FITCH CLASS A","Consumer Discretionary","Equity","11,386,535.40","0.04","-","197,580.00","57.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLL","BALL CORP","Materials","Equity","13,519,561.55","0.05","-","198,671.00","68.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","16,874,955.00","0.07","-","201,492.00","83.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TIE","TITANIUM METALS CORP.","Materials","Equity","3,463,384.92","0.01","-","201,594.00","17.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVLS","NOVELLUS SYSTEMS INC.","Information Technology","Equity","6,537,560.32","0.03","-","202,276.00","32.32","United States","NASDAQ","USD","1.00","USD","-"
"SNI","SCRIPPS NETWORKS INTERACTIVE INC C","Consumer Discretionary","Equity","10,483,929.00","0.04","-","202,588.00","51.75","United States","NASDAQ","USD","1.00","USD","-"
