iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2008"
Inception Date,"May 15, 2000"
Shares Outstanding,"173,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Consumer Discretionary","Equity","4,625,633.25","0.03","-","11,853.00","390.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDP","MEREDITH CORP","Consumer Discretionary","Equity","1,224,388.16","0.01","-","71,518.00","17.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","10,613,248.59","0.07","-","76,097.00","139.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","9,894,806.82","0.06","-","77,918.00","126.99","United States","NASDAQ","USD","1.00","USD","-"
"GAS.2","NICOR INC","Utilities","Equity","3,112,599.78","0.02","-","89,597.00","34.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DNB","DUN & BRADSTREET CORP","Industrials","Equity","8,275,762.80","0.05","-","107,199.00","77.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MIL.","MILLIPORE CORP","Health Care","Equity","5,663,336.00","0.04","-","109,925.00","51.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"R","RYDER SYSTEM INC","Industrials","Equity","4,289,184.34","0.03","-","110,603.00","38.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHLDQ","SEARS HOLDINGS CORP","Consumer Discretionary","Equity","4,301,082.12","0.03","-","110,653.00","38.87","United States","Non-Nms Quotation Service (Nnqs)","USD","1.00","USD","-"
"RL","POLO RALPH LAUREN CORP.","Consumer Discretionary","Equity","5,079,199.32","0.03","-","111,852.00","45.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLS","FLOWSERVE CORP","Industrials","Equity","5,788,342.50","0.04","-","112,395.00","51.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CF","CF INDUSTRIES HOLDINGS INC","Materials","Equity","5,539,545.44","0.04","-","112,684.00","49.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNA","SNAP ON INC","Consumer Discretionary","Equity","4,516,098.40","0.03","-","114,680.00","39.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HAR","HARMAN INTERNATIONAL INC","Consumer Discretionary","Equity","1,960,973.49","0.01","-","117,213.00","16.73","United States","-","USD","1.00","USD","-"
"BDK","THE BLACK & DECKER CORPORATION","Consumer Discretionary","Equity","5,008,294.47","0.03","-","119,787.00","41.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WYNN","WYNN RESORTS LTD","Consumer Discretionary","Equity","5,176,427.40","0.03","-","122,490.00","42.26","United States","NASDAQ","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","10,154,276.64","0.06","-","128,796.00","78.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MX4A","CME GROUP INC CLASS A","Financials","Equity","27,709,846.50","0.18","-","133,150.00","208.11","United States","Boerse Berlin","USD","1.00","USD","-"
"CEPH","CEPHALON INC","Health Care","Equity","10,495,159.20","0.07","-","136,230.00","77.04","United States","NASDAQ","USD","1.00","USD","-"
"ICE","INTERCONTINENTALEXCHANGE INC.","Financials","Equity","11,838,796.20","0.08","-","143,605.00","82.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","20,561,052.22","0.13","-","143,854.00","142.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMN","EASTMAN CHEMICAL","Materials","Equity","4,588,976.07","0.03","-","144,717.00","31.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WHR","WHIRLPOOL CORP","Consumer Discretionary","Equity","6,042,227.40","0.04","-","146,124.00","41.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KBH","KB HOME","Consumer Discretionary","Equity","2,026,397.22","0.01","-","148,781.00","13.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TEG","INTEGRYS ENERGY GROUP INC.","Utilities","Equity","6,549,507.29","0.04","-","152,385.00","42.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTZ","M&T BANK CORP","Financials","Equity","8,779,711.30","0.06","-","152,930.00","57.41","United States","Xetra","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Financials","Equity","9,282,976.30","0.06","-","153,235.00","60.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWK","STANLEY WORKS","Consumer Discretionary","Equity","5,312,473.10","0.03","-","155,791.00","34.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LXK","LEXMARK INTERNATIONAL INC.","Information Technology","Equity","4,214,180.90","0.03","-","156,661.00","26.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materials","Equity","4,659,234.12","0.03","-","156,771.00","29.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIG","BIG LOTS INC","Consumer Discretionary","Equity","2,347,206.12","0.01","-","161,988.00","14.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNY","JONES GROUP INC","Consumer Discretionary","Equity","971,746.22","0.01","-","165,827.00","5.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MEE","MASSEY ENERGY CO.","Energy","Equity","2,299,523.87","0.01","-","166,753.00","13.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMK","TORCHMARK CORP","Financials","Equity","7,562,837.70","0.05","-","169,191.00","44.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TIE","TITANIUM METALS CORP.","Materials","Equity","1,491,374.42","0.01","-","169,282.00","8.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRCL","STERICYCLE INC","Industrials","Equity","8,869,432.32","0.06","-","170,304.00","52.08","United States","NASDAQ","USD","1.00","USD","-"
"ANF","ABERCROMBIE AND FITCH CLASS A","Consumer Discretionary","Equity","3,976,529.76","0.03","-","172,368.00","23.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FHI","FEDERATED HERMES INC CLASS B","Financials","Equity","2,952,956.48","0.02","-","174,113.00","16.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VFC","VF CORP","Consumer Discretionary","Equity","9,600,030.83","0.06","-","175,279.00","54.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNI","SCRIPPS NETWORKS INTERACTIVE INC C","Consumer Discretionary","Equity","3,909,422.00","0.02","-","177,701.00","22.00","United States","NASDAQ","USD","1.00","USD","-"
"CIEN","CIENA CORP","Information Technology","Equity","1,201,082.17","0.01","-","179,266.00","6.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PDCO","PATTERSON COMPANIES INC","Health Care","Equity","3,412,087.50","0.02","-","181,978.00","18.75","United States","NASDAQ","USD","1.00","USD","-"
"BLL","BALL CORP","Materials","Equity","7,823,079.00","0.05","-","188,100.00","41.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
