iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"May 15, 2000"
Shares Outstanding,"701,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","23,067,294,775.20","6.84","23,067,294,775.20","129,905,360.00","177.57","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","21,044,599,453.76","6.24","21,044,599,453.76","62,573,143.00","336.32","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","12,119,932,447.88","3.59","12,119,932,447.88","3,634,882.00","3,334.34","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","7,262,870,588.88","2.15","7,262,870,588.88","2,506,997.00","2,897.04","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","7,164,222,313.32","2.12","7,164,222,313.32","6,779,294.00","1,056.78","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","6,743,638,812.96","2.00","6,743,638,812.96","2,330,544.00","2,893.59","United States","NASDAQ","USD","1.00","USD","-"
"FB","META PLATFORMS INC CLASS A","Communication","Equity","6,633,593,250.55","1.97","6,633,593,250.55","19,722,293.00","336.35","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","6,127,706,851.95","1.82","6,127,706,851.95","20,834,745.00","294.11","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","4,564,092,078.00","1.35","4,564,092,078.00","15,264,522.00","299.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","3,941,597,641.86","1.17","3,941,597,641.86","7,849,599.00","502.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","3,900,492,401.60","1.16","3,900,492,401.60","24,632,096.00","158.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,753,370,401.71","1.11","3,753,370,401.71","21,940,553.00","171.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","3,650,483,571.34","1.08","3,650,483,571.34","8,796,134.00","415.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","3,299,404,346.92","0.98","3,299,404,346.92","20,169,974.00","163.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
