Company,Weight
"Apple, Inc.",6.92802
Microsoft Corp.,5.76518
"Amazon.com, Inc. (a)",3.32427
"Tesla, Inc. (a)",2.34492
"Alphabet, Inc. Class A (a)",1.90368
"Alphabet, Inc. Class C (a)",1.71116
"Berkshire Hathaway, Inc. Class B (a)",1.59841
"UnitedHealth Group, Inc.",1.56768
Johnson & Johnson,1.4256
Exxon Mobil Corp.,1.20777
"Meta Platforms, Inc. Class A (a)",1.02709
JPMorgan Chase & Co.,1.01717
NVIDIA Corp.,1.0089
Procter & Gamble Co.,1.00222
"Visa, Inc. Class A",0.96408
"Home Depot, Inc.",0.9413
Chevron Corp.,0.85876
Eli Lilly & Co.,0.84644
"Pfizer, Inc.",0.81517
"Mastercard, Inc. Class A",0.80525
"AbbVie, Inc.",0.78762
"PepsiCo, Inc.",0.74691
"Merck & Co., Inc.",0.72413
Coca-Cola Co.,0.72317
Bank of America Corp.,0.70073
Costco Wholesale Corp.,0.69439
"Thermo Fisher Scientific, Inc.",0.65954
"Walmart, Inc.",0.61363
"Broadcom, Inc.",0.59509
Walt Disney Co. (a),0.5708
McDonald's Corp.,0.56334
Abbott Laboratories,0.56242
Danaher Corp.,0.56127
"Cisco Systems, Inc.",0.54979
Accenture PLC Class A,0.53926
"Verizon Communications, Inc.",0.52929
"NextEra Energy, Inc.",0.51135
Wells Fargo & Co.,0.50636
Bristol-Myers Squibb Co.,0.50383
"Salesforce, Inc. (a)",0.47504
"Texas Instruments, Inc.",0.46941
Linde PLC,0.44592
ConocoPhillips,0.43243
Comcast Corp. Class A,0.42871
"Adobe, Inc. (a)",0.42747
"Philip Morris International, Inc.",0.42711
"QUALCOMM, Inc.",0.42113
CVS Health Corp.,0.41557
Union Pacific Corp.,0.40479
Raytheon Technologies Corp.,0.40117
"Amgen, Inc.",0.4002
"Lowe's Cos., Inc.",0.39842
"United Parcel Service, Inc. Class B",0.39254
"Honeywell International, Inc.",0.37335
Charles Schwab Corp.,0.36425
"AT&T, Inc.",0.36334
