Company,Weight
"Apple, Inc.",3.68794
Microsoft Corp.,2.65834
"Facebook, Inc. Class A(a)",1.87678
"Amazon.com, Inc.(a)",1.77622
"Berkshire Hathaway, Inc. Class B(a)",1.63488
Johnson & Johnson,1.61675
Exxon Mobil Corp.,1.60984
JPMorgan Chase & Co.,1.55704
"Alphabet, Inc. Class A(a)",1.34321
"Alphabet, Inc. Class C(a)",1.34178
Bank of America Corp.,1.15175
Wells Fargo & Co.,1.1415
"AT&T, Inc.",1.11615
Procter & Gamble Co.,1.07494
Chevron Corp.,1.03176
"Pfizer, Inc.",0.98747
General Electric Co.,0.96992
"Verizon Communications, Inc.",0.93574
"Citigroup, Inc.",0.91811
"Home Depot, Inc.",0.89313
"Visa, Inc. Class A",0.89192
"UnitedHealth Group, Inc.",0.87747
Comcast Corp. Class A,0.83861
Intel Corp.,0.83113
"Merck & Co., Inc.",0.81149
Coca-Cola Co.,0.8022
"Philip Morris International, Inc.",0.79912
"Cisco Systems, Inc.",0.77992
"DowDuPont, Inc.",0.74908
"PepsiCo, Inc.",0.73777
Walt Disney Co.,0.70578
Oracle Corp.,0.67661
"AbbVie, Inc.",0.65573
Boeing Co.,0.65431
"Amgen, Inc.",0.63029
"Mastercard, Inc. Class A",0.61087
McDonald’s Corp.,0.58798
International Business Machines Corp.,0.58278
3M Co.,0.58136
"Altria Group, Inc.",0.56372
"Wal-MartStores, Inc.",0.52987
Celgene Corp.(a),0.52773
"Honeywell International, Inc.",0.50081
NVIDIA Corp.,0.4971
"Gilead Sciences, Inc.",0.49036
Medtronic PLC,0.48802
Bristol-Myers Squibb Co.,0.48429
"Broadcom, Ltd.",0.45706
"Schlumberger, Ltd.",0.45041
Union Pacific Corp.,0.43002
Abbott Laboratories,0.42916
"Priceline Group, Inc.(a)",0.41708
"Texas Instruments, Inc.",0.41116
United Technologies Corp.,0.39953
US Bancorp,0.39542
"Goldman Sachs Group, Inc.",0.39528
Accenture PLC Class A,0.38675
Eli Lilly & Co.,0.38496
CVS Health Corp.,0.384
"United Parcel Service, Inc. Class B",0.38229
"Time Warner, Inc.",0.36741
"Netflix, Inc.(a)",0.36148
Starbucks Corp.,0.3605
Lockheed Martin Corp.,0.35876
"QUALCOMM, Inc.",0.3546
"Thermo Fisher Scientific, Inc.",0.351
"Adobe Systems, Inc.(a)",0.34188
"Caterpillar, Inc.",0.34055
"Charter Communications, Inc. Class A(a)",0.33819
"PayPal Holdings, Inc.(a)",0.33542
Costco Wholesale Corp.,0.33399
"Walgreens Boots Alliance, Inc.",0.32977
Allergan PLC,0.31904
"NextEra Energy, Inc.",0.31799
"NIKE, Inc. Class B",0.31563
Morgan Stanley,0.3156
"Lowe’s Cos., Inc.",0.31261
"Chubb, Ltd.",0.30748
American Express Co.,0.30739
"Biogen, Inc.(a)",0.30672
"PNC Financial Services Group, Inc.",0.29918
Colgate-Palmolive Co.,0.29812
"salesforce.com, Inc.(a)",0.29567
"Mondelez International, Inc. Class A",0.284
ConocoPhillips,0.28213
Duke Energy Corp.,0.27197
American Tower Corp. REIT,0.27047
General Dynamics Corp.,0.26519
"EOG Resources, Inc.",0.25884
"Applied Materials, Inc.",0.25738
"American International Group, Inc.",0.25712
"BlackRock, Inc.",0.25686
FedEx Corp.,0.2562
"MetLife, Inc.",0.25576
Bank of New York Mellon Corp.,0.25464
Raytheon Co.,0.25288
General Motors Co.,0.24515
"Aetna, Inc.",0.24394
Monsanto Co.,0.2437
Danaher Corp.,0.24237
Charles Schwab Corp.,0.24145
"Simon Property Group, Inc. REIT",0.233
Northrop Grumman Corp.,0.23257
"Anthem, Inc.",0.23245
CSX Corp.,0.22958
"Dominion Energy, Inc.",0.22916
Southern Co.,0.2276
"Automatic Data Processing, Inc.",0.22709
Occidental Petroleum Corp.,0.22655
"Activision Blizzard, Inc.",0.22603
Cigna Corp.,0.21802
"TJX Cos., Inc.",0.21733
Ford Motor Co.,0.21699
Kraft Heinz Co.,0.21446
"Illinois Tool Works, Inc.",0.21367
"CME Group, Inc.",0.21258
Stryker Corp.,0.21184
"Prudential Financial, Inc.",0.21109
Becton Dickinson and Co.,0.20648
"Micron Technology, Inc.(a)",0.2033
"Marsh & McLennan Cos., Inc.",0.20006
Cognizant Technology Solutions Corp. Class A,0.19807
Kimberly-Clark Corp.,0.19402
Capital One Financial Corp.,0.18864
