iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2024"
Inception Date,"May 15, 2000"
Shares Outstanding,"995,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","44,446,953,895.86","7.58","44,446,953,895.86","177,489,633.00","250.42","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","38,679,635,854.21","6.60","38,679,635,854.21","288,030,649.00","134.29","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","36,797,030,928.00","6.28","36,797,030,928.00","87,300,192.00","421.50","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","24,107,806,829.97","4.11","24,107,806,829.97","109,885,623.00","219.39","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","14,987,614,474.38","2.56","14,987,614,474.38","25,597,538.00","585.51","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","13,242,913,911.68","2.26","13,242,913,911.68","32,792,477.00","403.84","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","12,987,552,515.10","2.22","12,987,552,515.10","68,608,307.00","189.30","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","12,714,532,185.60","2.17","12,714,532,185.60","54,841,840.00","231.84","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","10,642,327,478.28","1.82","10,642,327,478.28","55,882,837.00","190.44","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","9,755,673,472.00","1.66","9,755,673,472.00","21,522,400.00","453.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","7,924,240,891.65","1.35","7,924,240,891.65","33,057,615.00","239.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","7,142,407,356.00","1.22","7,142,407,356.00","9,251,823.00","772.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","6,412,873,513.40","1.09","6,412,873,513.40","20,291,335.00","316.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","5,551,375,424.29","0.95","5,551,375,424.29","51,607,097.00","107.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","5,466,268,021.26","0.93","5,466,268,021.26","10,805,891.00","505.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","5,068,143,047.11","0.86","5,068,143,047.11","9,624,823.00","526.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","4,766,977,139.30","0.81","4,766,977,139.30","5,202,590.00","916.27","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","4,636,006,840.85","0.79","4,636,006,840.85","27,652,889.00","167.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","4,604,945,970.30","0.79","4,604,945,970.30","50,967,858.00","90.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","4,536,855,331.33","0.77","4,536,855,331.33","11,663,167.00","388.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","4,473,714,235.32","0.76","4,473,714,235.32","5,019,201.00","891.32","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","4,088,449,918.28","0.70","4,088,449,918.28","28,270,294.00","144.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","3,752,946,190.75","0.64","3,752,946,190.75","11,225,275.00","334.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","3,687,218,846.80","0.63","3,687,218,846.80","20,749,684.00","177.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","3,444,910,215.75","0.59","3,444,910,215.75","78,382,485.00","43.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","3,144,823,247.76","0.54","3,144,823,247.76","18,871,959.00","166.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","2,954,850,361.32","0.50","2,954,850,361.32","29,702,959.00","99.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","2,842,388,536.56","0.48","2,842,388,536.56","19,624,334.00","144.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","2,834,311,040.88","0.48","2,834,311,040.88","45,523,788.00","62.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","2,770,779,336.00","0.47","2,770,779,336.00","46,803,705.00","59.20","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","2,746,017,066.24","0.47","2,746,017,066.24","39,094,776.00","70.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","2,581,115,242.89","0.44","2,581,115,242.89","7,337,091.00","351.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
