Company,Weight
"Apple, Inc.",2.89693
Exxon Mobil Corp.,2.53237
Microsoft Corp.,1.68806
"Google, Inc. (Class A)(a)",1.63766
Johnson & Johnson,1.63335
General Electric Co.,1.62691
Chevron Corp.,1.56954
The Procter & Gamble Co.,1.38417
"Berkshire Hathaway, Inc.(Class B)(a)",1.36621
Wells Fargo & Co.,1.33518
JPMorgan Chase & Co.,1.30096
International Business Machines Corp.,1.27507
"Pfizer, Inc.",1.27091
"AT&T, Inc.",1.2011
Bank of America Corp.,0.99128
"Citigroup, Inc.",0.9848
The Coca-Cola Co.,0.96563
"Philip Morris International, Inc.",0.93715
"Merck & Co., Inc.",0.93185
"Verizon Communications, Inc.",0.89275
"Cisco Systems, Inc.",0.83952
"PepsiCo, Inc.",0.82027
"Wal-Mart Stores, Inc.",0.80497
Oracle Corp.,0.79105
Comcast Corp. (Class A),0.7896
"Schlumberger, Ltd.",0.78175
"Amazon.com, Inc.(a)",0.77342
"QUALCOMM, Inc.",0.77265
Intel Corp.,0.76344
"The Home Depot, Inc.",0.72661
The Walt Disney Co.,0.717
"Visa, Inc. (Class A)",0.6594
McDonald’s Corp.,0.64355
"Gilead Sciences, Inc.(a)",0.64306
United Technologies Corp.,0.60842
ConocoPhillips,0.567
"Amgen, Inc.",0.56382
The Boeing Co.,0.54518
3M Co.,0.51824
Bristol-Myers Squibb Co.,0.50942
Occidental Petroleum Corp.,0.5028
"UnitedHealth Group, Inc.",0.48884
Union Pacific Corp.,0.48182
"American International Group, Inc.",0.47899
"AbbVie, Inc.",0.47261
"MasterCard, Inc. (Class A)",0.46949
American Express Co.,0.46863
CVS Caremark Corp.,0.46524
"Altria Group, Inc.",0.46049
U.S. Bancorp,0.4514
"Twenty-First Century Fox, Inc. (Class A)",0.44617
Ford Motor Co.,0.44436
"The Goldman Sachs Group, Inc.",0.44193
"United Parcel Service, Inc.(Class B)",0.44127
"Honeywell International, Inc.",0.43596
"eBay, Inc.(a)",0.43479
Celgene Corp.(a),0.42334
"Time Warner, Inc.",0.40486
Starbucks Corp.,0.38667
"Biogen Idec, Inc.(a)",0.38132
"Mondelez International, Inc. (Class A)",0.37411
Monsanto Co.,0.37244
"NIKE, Inc. (Class B)",0.36311
E. I. du Pont de Nemours & Co.,0.36153
EMC Corp.,0.35565
"Medtronic, Inc.",0.35518
"Caterpillar, Inc.",0.35477
"MetLife, Inc.",0.35144
Colgate-Palmolive Co.,0.3494
"priceline.com, Inc.(a)",0.34926
Abbott Laboratories,0.34488
Express Scripts Holding Co.(a),0.33684
Costco Wholesale Corp.,0.33544
"Lowe’s Cos., Inc.",0.33487
Eli Lilly & Co.,0.33458
Accenture PLC (Class A),0.31752
Duke Energy Corp.,0.31445
Walgreen Co.,0.31271
Anadarko Petroleum Corp.,0.31108
The Dow Chemical Co.,0.30988
Emerson Electric Co.,0.30912
"Simon Property Group, Inc.",0.30734
"EOG Resources, Inc.",0.30729
"Texas Instruments, Inc.",0.29809
Danaher Corp.,0.27716
Halliburton Co.,0.27228
"TJX Cos., Inc.",0.27075
Target Corp.,0.27004
Hewlett-Packard Co.,0.2699
Capital One Financial Corp.,0.26789
"PNC Financial Services Group, Inc.",0.2559
Morgan Stanley,0.25053
Kimberly-Clark Corp.,0.24326
"Viacom, Inc. (Class B)",0.24259
"Prudential Financial, Inc.",0.24247
"Dominion Resources, Inc.",0.2408
Southern Co.,0.23909
"Baxter International, Inc.",0.2388
"Praxair, Inc.",0.23717
Phillips 66,0.23625
