Company,Weight
"Apple, Inc.",4.21065
Microsoft Corp.,3.56739
"Amazon.com, Inc.(a)",3.33861
"Berkshire Hathaway, Inc. Class B(a)",1.69803
"Facebook, Inc. Class A(a)",1.61343
JPMorgan Chase & Co.,1.54247
Johnson & Johnson,1.50782
"Alphabet, Inc. Class C(a)",1.49488
"Alphabet, Inc. Class A(a)",1.46768
Exxon Mobil Corp.,1.46421
Bank of America Corp.,1.11301
"Visa, Inc. Class A",1.08457
"Pfizer, Inc.",1.05089
"UnitedHealth Group, Inc.",1.04158
"AT&T, Inc.",0.99195
"Home Depot, Inc.",0.96402
Chevron Corp.,0.95312
Wells Fargo & Co.,0.92662
"Cisco Systems, Inc.",0.90441
"Verizon Communications, Inc.",0.89736
Intel Corp.,0.8869
Procter & Gamble Co.,0.84264
"Mastercard, Inc. Class A",0.82581
Boeing Co.,0.8081
"Merck & Co., Inc.",0.76737
"Citigroup, Inc.",0.7343
Coca-Cola Co.,0.71916
Walt Disney Co.,0.70745
NVIDIA Corp.,0.69502
"Netflix, Inc.(a)",0.66271
Comcast Corp. Class A,0.65787
"PepsiCo, Inc.",0.64318
"DowDuPont, Inc.",0.60382
Oracle Corp.,0.59254
"AbbVie, Inc.",0.58258
International Business Machines Corp.,0.56175
"Walmart, Inc.",0.54911
"Amgen, Inc.",0.54563
Medtronic PLC,0.54039
"Adobe Systems, Inc.(a)",0.53778
McDonald’s Corp.,0.52787
Abbott Laboratories,0.52351
"Philip Morris International, Inc.",0.5156
"Honeywell International, Inc.",0.50409
3M Co.,0.50274
"salesforce.com, Inc.(a)",0.48979
Union Pacific Corp.,0.48959
"Altria Group, Inc.",0.46178
Accenture PLC Class A,0.44265
"NIKE, Inc. Class B",0.44127
"Broadcom, Inc.",0.43351
United Technologies Corp.,0.42776
"Texas Instruments, Inc.",0.42526
"PayPal Holdings, Inc.(a)",0.42315
Costco Wholesale Corp.,0.419
Eli Lilly & Co.,0.41723
Bristol-Myers Squibb Co.,0.41208
"QUALCOMM, Inc.",0.41208
"Gilead Sciences, Inc.",0.40737
"Thermo Fisher Scientific, Inc.",0.39991
General Electric Co.,0.39914
"Booking Holdings, Inc.(a)",0.3831
"Lowe’s Cos., Inc.",0.37874
"Caterpillar, Inc.",0.36883
ConocoPhillips,0.36624
Lockheed Martin Corp.,0.34765
"Schlumberger, Ltd.",0.34299
"United Parcel Service, Inc. Class B",0.32931
US Bancorp,0.32889
CVS Health Corp.,0.326
"NextEra Energy, Inc.",0.32152
"Goldman Sachs Group, Inc.",0.32027
Starbucks Corp.,0.31186
American Express Co.,0.30582
"EOG Resources, Inc.",0.30057
"Anthem, Inc.",0.28983
"Biogen, Inc.(a)",0.28939
"TJX Cos., Inc.",0.28532
Becton Dickinson and Co.,0.28407
Danaher Corp.,0.27218
"Aetna, Inc.",0.26991
"Automatic Data Processing, Inc.",0.26851
"Intuitive Surgical, Inc.(a)",0.26558
American Tower Corp. REIT,0.2596
"Activision Blizzard, Inc.",0.258
"PNC Financial Services Group, Inc.",0.25719
"Mondelez International, Inc. Class A",0.25637
Celgene Corp.(a),0.256
Occidental Petroleum Corp.,0.25455
"Chubb, Ltd.",0.25182
"Walgreens Boots Alliance, Inc.",0.25152
Morgan Stanley,0.25113
Allergan PLC,0.24709
CSX Corp.,0.24559
Charles Schwab Corp.,0.24041
Raytheon Co.,0.24016
FedEx Corp.,0.23948
"Intuit, Inc.",0.2394
Colgate-Palmolive Co.,0.23678
"Charter Communications, Inc. Class A(a)",0.23658
"CME Group, Inc.",0.23582
"BlackRock, Inc.",0.23509
General Dynamics Corp.,0.23195
Duke Energy Corp.,0.2319
Stryker Corp.,0.22428
Northrop Grumman Corp.,0.22388
"Simon Property Group, Inc. REIT",0.22231
"Illumina, Inc.(a)",0.21828
Boston Scientific Corp.(a),0.21658
Express Scripts Holding Co.(a),0.21635
"Micron Technology, Inc.(a)",0.2122
Norfolk Southern Corp.,0.20662
Cigna Corp.,0.20652
"Vertex Pharmaceuticals, Inc.(a)",0.20037
"S&P Global, Inc.",0.19971
Valero Energy Corp.,0.19835
