iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 29, 2017"
Inception Date,"May 15, 2000"
Shares Outstanding,"526,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","5,375,024,706.42","3.80","5,375,024,706.42","31,761,654.00","169.23","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","4,082,267,077.98","2.89","4,082,267,077.98","47,723,487.00","85.54","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","2,893,455,895.20","2.05","2,893,455,895.20","2,474,160.00","1,169.47","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Information Technology","Equity","2,603,253,854.22","1.84","2,603,253,854.22","14,752,657.00","176.46","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","2,359,739,921.22","1.67","2,359,739,921.22","11,904,651.00","198.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","2,322,027,358.56","1.64","2,322,027,358.56","16,619,148.00","139.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","2,295,378,339.80","1.62","2,295,378,339.80","21,464,170.00","106.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","2,192,403,546.84","1.55","2,192,403,546.84","26,212,381.00","83.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Information Technology","Equity","1,954,008,643.20","1.38","1,954,008,643.20","1,867,363.00","1,046.40","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Information Technology","Equity","1,942,177,808.20","1.37","1,942,177,808.20","1,843,723.00","1,053.40","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","1,771,449,680.16","1.25","1,771,449,680.16","60,008,458.00","29.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","1,663,327,506.60","1.18","1,663,327,506.60","27,415,980.00","60.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Telecommunications","Equity","1,476,774,218.88","1.04","1,476,774,218.88","37,982,876.00","38.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","1,470,962,970.36","1.04","1,470,962,970.36","11,749,844.00","125.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","1,448,301,959.24","1.02","1,448,301,959.24","15,762,973.00","91.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","1,369,133,826.61","0.97","1,369,133,826.61","7,223,837.00","189.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,336,382,037.44","0.94","1,336,382,037.44","28,951,084.00","46.16","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Telecommunications","Equity","1,335,719,672.84","0.94","1,335,719,672.84","25,235,588.00","52.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,335,568,239.16","0.94","1,335,568,239.16","36,873,778.00","36.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","1,321,599,278.10","0.93","1,321,599,278.10","5,994,735.00","220.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","1,279,110,451.98","0.90","1,279,110,451.98","11,218,299.00","114.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","1,217,068,413.68","0.86","1,217,068,413.68","16,356,248.00","74.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","1,171,288,876.50","0.83","1,171,288,876.50","30,581,955.00","38.30","United States","NASDAQ","USD","1.00","USD","-"
