iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 29, 2006"
Inception Date,"May 15, 2000"
Shares Outstanding,"126,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PMCS","PMC-SIERRA INC.","-","Equity","1,984,583.15","0.01","1,984,583.00","295,765.00","6.71","United States","NASDAQ","USD","1.00","-","-"
"ADCT","ADC TELECOMMUNICATIONS","-","Equity","2,384,881.56","0.01","2,384,882.00","164,135.00","14.53","United States","NASDAQ","USD","1.00","-","-"
"PGL","PEOPLES ENERGY CORPORATION","-","Equity","2,434,992.81","0.01","2,434,993.00","54,633.00","44.57","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"SANM","SANMINA-SCI CORP.","-","Equity","2,602,828.35","0.01","2,602,828.00","754,443.00","3.45","United States","NASDAQ","USD","1.00","-","-"
"PMTC","PARAMETRIC TECHNOLOGY CORP.","-","Equity","2,838,131.98","0.02","2,838,132.00","157,499.00","18.02","United States","NASDAQ","USD","1.00","-","-"
"NOVL","NOVELL","-","Equity","2,946,054.00","0.02","2,946,054.00","475,170.00","6.20","United States","NASDAQ","USD","1.00","-","-"
"GAS.2","NICOR INC","-","Equity","2,947,932.00","0.02","2,947,932.00","62,990.00","46.80","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"DDS","DILLARDS INC CLASS A","-","Equity","2,995,984.81","0.02","2,995,985.00","85,673.00","34.97","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"MDP","MEREDITH CORP","-","Equity","3,077,217.15","0.02","3,077,217.00","54,609.00","56.35","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"HPC","HERCULES INC.","-","Equity","3,100,645.32","0.02","3,100,645.00","160,572.00","19.31","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"RSHCQ","RS LEGACY CORP","-","Equity","3,213,974.08","0.02","3,213,974.00","191,536.00","16.78","United States","Non-Nms Quotation Service (Nnqs)","USD","1.00","-","-"
"CIEN","CIENA CORP","-","Equity","3,271,304.04","0.02","3,271,304.00","118,055.00","27.71","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"TEK","TEKTRONIX INC.","-","Equity","3,436,838.57","0.02","3,436,839.00","117,821.00","29.17","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"DJ","DOW JONES & COMPANY INC.","-","Equity","3,467,424.00","0.02","3,467,424.00","91,248.00","38.00","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"BIG","BIG LOTS INC","-","Equity","3,502,153.08","0.02","3,502,153.00","152,799.00","22.92","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
