Company,Weight
"Apple, Inc.",6.68146
Microsoft Corp.,5.71213
"Amazon.com, Inc.(a)",4.81099
"Facebook, Inc. Class A(a)",2.25976
"Alphabet, Inc. Class A(a)",1.58032
"Alphabet, Inc. Class C(a)",1.54832
"Berkshire Hathaway, Inc. Class B(a)",1.51476
Johnson & Johnson,1.40668
Procter & Gamble Co.,1.2418
"Visa, Inc. Class A",1.20993
NVIDIA Corp.,1.1983
"Home Depot, Inc.",1.07282
"Mastercard, Inc. Class A",1.07203
"UnitedHealth Group, Inc.",1.06427
JPMorgan Chase & Co.,1.0529
"Verizon Communications, Inc.",0.88344
"Adobe, Inc.(a)",0.84424
"PayPal Holdings, Inc.(a)",0.82963
"salesforce.com, Inc.(a)",0.82074
Walt Disney Co.,0.80466
"Netflix, Inc.(a)",0.79156
Intel Corp.,0.78909
Comcast Corp. Class A,0.75679
"Merck & Co., Inc.",0.7534
"Pfizer, Inc.",0.73187
"AT&T, Inc.",0.72898
"Walmart, Inc.",0.69717
Abbott Laboratories,0.6915
"PepsiCo, Inc.",0.68871
Coca-Cola Co.,0.68494
Bank of America Corp.,0.65914
"Thermo Fisher Scientific, Inc.",0.62766
"Cisco Systems, Inc.",0.59843
McDonald’s Corp.,0.58612
Costco Wholesale Corp.,0.56251
"NIKE, Inc. Class B",0.55963
"AbbVie, Inc.",0.55563
"Amgen, Inc.",0.53422
"Broadcom, Inc.",0.52421
Exxon Mobil Corp.,0.52092
Accenture PLC Class A,0.51597
Medtronic PLC,0.50163
"NextEra Energy, Inc.",0.48774
Danaher Corp.,0.48769
Bristol-Myers Squibb Co.,0.48767
Chevron Corp.,0.48249
Union Pacific Corp.,0.47961
"QUALCOMM, Inc.",0.47649
"Texas Instruments, Inc.",0.46935
"Lowe’s Cos., Inc.",0.45075
Linde PLC,0.44896
"United Parcel Service, Inc. Class B",0.4223
Eli Lilly & Co.,0.42171
"Philip Morris International, Inc.",0.41909
"Honeywell International, Inc.",0.41457
Oracle Corp.,0.4142
International Business Machines Corp.,0.38884
American Tower Corp. REIT,0.38571
Starbucks Corp.,0.36126
Wells Fargo & Co.,0.34761
"Advanced Micro Devices, Inc.(a)",0.34545
Lockheed Martin Corp.,0.33836
"Charter Communications, Inc. Class A(a)",0.33513
"ServiceNow, Inc.(a)",0.33291
3M Co.,0.33164
"Fidelity National Information Services, Inc.",0.32737
"Citigroup, Inc.",0.32305
Raytheon Technologies Corp.,0.31545
Boeing Co.,0.31467
"S&P Global, Inc.",0.31267
"Intuit, Inc.",0.30619
"Intuitive Surgical, Inc.(a)",0.29785
"Mondelez International, Inc. Class A",0.29448
"Caterpillar, Inc.",0.29056
"BlackRock, Inc.",0.28681
"Gilead Sciences, Inc.",0.28431
Target Corp.,0.28323
"Zoetis, Inc.",0.2818
CVS Health Corp.,0.27476
"Prologis, Inc. REIT",0.26595
"Altria Group, Inc.",0.25846
"Vertex Pharmaceuticals, Inc.(a)",0.25393
"Booking Holdings, Inc.(a)",0.25201
Crown Castle International Corp. REIT,0.24974
Deere & Co.,0.24968
"Goldman Sachs Group, Inc.",0.24815
Stryker Corp.,0.24437
"Anthem, Inc.",0.24243
"Equinix, Inc. REIT",0.24219
Becton Dickinson and Co.,0.24205
"TJX Cos., Inc.",0.23988
"T-MobileUS, Inc.(a)",0.2395
"Dominion Energy, Inc.",0.23844
Colgate-Palmolive Co.,0.23656
"Air Products & Chemicals, Inc.",0.23523
American Express Co.,0.23463
Duke Energy Corp.,0.23425
"Activision Blizzard, Inc.",0.2245
Cigna Corp.,0.22324
FedEx Corp.,0.21757
"Automatic Data Processing, Inc.",0.21612
"CME Group, Inc.",0.21461
CSX Corp.,0.21401
"Regeneron Pharmaceuticals, Inc.(a)",0.21001
"Marsh & McLennan Cos., Inc.",0.20849
Morgan Stanley,0.20841
Southern Co.,0.20609
"Fiserv, Inc.(a)",0.20555
Sherwin-Williams Co.,0.2049
"Intercontinental Exchange, Inc.(b)",0.20152
"Illinois Tool Works, Inc.",0.19994
Progressive Corp.,0.1983
Boston Scientific Corp.(a),0.1965
"Humana, Inc.",0.19607
Norfolk Southern Corp.,0.19591
"Applied Materials, Inc.",0.19485
General Electric Co.,0.19465
"Global Payments, Inc.",0.19102
"Chubb, Ltd.",0.18842
"Micron Technology, Inc.(a)",0.188
Dollar General Corp.,0.18733
Truist Financial Corp.,0.18455
Newmont Corp.,0.1833
"Autodesk, Inc.(a)",0.1818
Kimberly-Clark Corp.,0.18136
Edwards Lifesciences Corp.(a),0.17825
"Ecolab, Inc.",0.17783
US Bancorp,0.17688
"Estee Lauder Cos., Inc. Class A",0.17656
Northrop Grumman Corp.,0.17555
Lam Research Corp.,0.1719
Aon PLC Class A,0.17151
Moody’s Corp.,0.1685
"PNC Financial Services Group, Inc.",0.16785
"Illumina, Inc.(a)",0.16257
"Biogen, Inc.(a)",0.16117
"Waste Management, Inc.",0.15803
"Analog Devices, Inc.",0.15393
Charles Schwab Corp.,0.15079
"DuPont de Nemours, Inc.",0.14714
"Roper Technologies, Inc.",0.14693
"Baxter International, Inc.",0.14691
Eaton Corp. PLC,0.1469
"American Electric Power Co., Inc.",0.14453
"Digital Realty Trust, Inc. REIT",0.14173
"DexCom, Inc.(a)",0.14163
Emerson Electric Co.,0.14102
"Electronic Arts, Inc.(a)",0.13631
Cognizant Technology Solutions Corp. Class A,0.136
"General Mills, Inc.",0.13345
General Motors Co.,0.13331
"L3Harris Technologies, Inc.",0.13196
"Xcel Energy, Inc.",0.12946
SBA Communications Corp. REIT,0.12838
ConocoPhillips,0.12677
"Twitter, Inc.(a)",0.12566
"Dow, Inc.",0.12491
"Chipotle Mexican Grill, Inc.(a)",0.1248
Exelon Corp.,0.12441
"eBay, Inc.",0.12386
"O’Reilly Automotive, Inc.(a)",0.12314
Sempra Energy,0.12286
Public Storage REIT,0.12156
Centene Corp.(a),0.1215
"IDEXX Laboratories, Inc.(a)",0.12072
"Ross Stores, Inc.",0.11934
"HCA Healthcare, Inc.",0.11809
Capital One Financial Corp.,0.11776
"Synopsys, Inc.(a)",0.11614
General Dynamics Corp.,0.11613
"TE Connectivity, Ltd.",0.11577
Amphenol Corp. Class A,0.1149
Sysco Corp.,0.11358
"Constellation Brands, Inc. Class A",0.11349
"Cummins, Inc.",0.11213
"Agilent Technologies, Inc.",0.11202
Johnson Controls International PLC,0.10938
"WEC Energy Group, Inc.",0.10889
"Verisk Analytics, Inc.",0.1083
"IQVIA Holdings, Inc.(a)",0.1082
KLA Corp.,0.1081
"MSCI, Inc.",0.1071
"Cadence Design Systems, Inc.(a)",0.10704
Allstate Corp.,0.10645
Monster Beverage Corp.(a),0.10625
"PACCAR, Inc.",0.10514
"IHS Markit, Ltd.",0.10509
"T Rowe Price Group, Inc.",0.10503
Trane Technologies PLC,0.10426
Cintas Corp.,0.10385
"PPG Industries, Inc.",0.10326
"MetLife, Inc.",0.10291
Eversource Energy,0.10115
