Company,Weight
Exxon Mobil Corp,3.31581
General Electric Co,3.03625
"Citigroup, Inc",2.04202
Bank of America Corp,2.02213
Microsoft Corp,1.96225
"Pfizer, Inc",1.71878
Procter & Gamble Co,1.6351
Johnson & Johnson,1.57915
"American International Group, Inc",1.43202
JPMorgan Chase & Co,1.35564
"Altria Group, Inc",1.33279
Chevron Corp,1.18927
"Cisco Systems, Inc *",1.16764
"AT&T, Inc",1.0517
International Business Machines Corp,1.0365
Wells Fargo & Co,1.01318
"Wal-Mart Stores, Inc",1.00842
Intel Corp,0.98975
"Verizon Communications, Inc",0.89595
"PepsiCo, Inc",0.89208
Hewlett-Packard Co,0.8353
ConocoPhillips,0.8126
Coca-Cola Co (The),0.75811
"Merck & Co, Inc",0.75645
Wachovia Corp,0.74207
"Google, Inc, (Class A) *",0.71264
"Amgen, Inc *",0.69785
Morgan Stanley,0.64603
BellSouth Corp,0.6456
"United Parcel Service, Inc, (Class B)",0.64517
"Comcast Corp, (Class A) *",0.64334
"Home Depot, Inc",0.62016
Abbott Laboratories,0.61699
"Time Warner, Inc",0.61286
Schlumberger Ltd,0.61086
"Goldman Sachs Group, Inc",0.6042
Oracle Corp *,0.59561
"Merrill Lynch & Co, Inc",0.57599
American Express Co,0.57168
Wyeth,0.56594
"UnitedHealth Group, Inc",0.54961
"Apple Computer, Inc *",0.54189
Disney (Walt) Co (The),0.53656
United Technologies Corp,0.52986
Boeing Co,0.52152
"Motorola, Inc",0.51052
"QUALCOMM, Inc",0.50413
US Bancorp,0.4888
Tyco International Ltd,0.47162
Lilly (Eli) & Co,0.46432
3M Co,0.46414
Fannie Mae,0.44767
"Medtronic, Inc",0.4433
"Dell, Inc *",0.42919
"Texas Instruments, Inc",0.4285
Sprint Nextel Corp,0.42259
Bristol-Myers Squibb Co,0.40528
McDonald's Corp,0.40488
"WellPoint, Inc *",0.39684
Target Corp,0.39404
News Corp,0.38425
Freddie Mac,0.37912
Walgreen Co,0.37092
"Caterpillar, Inc",0.36442
"Lowe's Companies, Inc",0.36138
"MetLife, Inc",0.35571
"Washington Mutual, Inc",0.3455
Occidental Petroleum Corp,0.3414
Exelon Corp,0.33467
Allstate Corp,0.32952
"Lehman Brothers Holdings, Inc",0.32898
Du Pont (EI) de Nemours,0.32647
Duke Energy Corp,0.31481
"Corning, Inc *",0.31456
"Prudential Financial, Inc",0.31087
Dow Chemical Co,0.31062
"Anheuser-Busch Cos, Inc",0.30379
Emerson Electric Co,0.28418
"Honeywell International, Inc",0.27982
"eBay, Inc *",0.27719
FedEx Corp,0.27416
Schering-Plough Corp,0.27063
"St Paul Travelers Cos, Inc (The)",0.27007
First Data Corp,0.26537
Colgate-Palmolive Co,0.2644
"Yahoo!, Inc *",0.26275
Valero Energy Corp,0.2619
"Gilead Sciences, Inc *",0.25849
Lockheed Martin Corp,0.25193
Kimberly-Clark Corp,0.24812
"Baxter International, Inc",0.24624
Halliburton Co,0.24296
General Dynamics Corp,0.23939
TXU Corp,0.23916
EMC Corp *,0.23449
"SunTrust Banks, Inc",0.23234
Marathon Oil Corp,0.23045
Devon Energy Corp,0.23015
"Bank of New York Co, Inc (The)",0.22509
"Dominion Resources, Inc",0.22453
"Viacom, Inc, (Class B) *",0.22167
"Cardinal Health, Inc",0.22151
Burlington Northern Santa Fe Corp,0.2212
"Automatic Data Processing, Inc",0.2185
"Hartford Financial Services Group, Inc (The)",0.21753
CVS Corp,0.21746
Starbucks Corp *,0.21603
Southern Co (The),0.21152
Monsanto Co,0.21043
Archer-Daniels-Midland Co,0.20508
"Applied Materials, Inc",0.20192
"Alcoa, Inc",0.20162
"Caremark Rx, Inc",0.20101
BB&T Corp,0.19937
"Federated Department Stores, Inc",0.19781
Capital One Financial Corp,0.19719
"Transocean, Inc *",0.19682
Union Pacific Corp,0.19579
Costco Wholesale Corp,0.19385
Northrop Grumman Corp,0.19347
"Baker Hughes, Inc",0.19224
"Aflac, Inc",0.18876
"Adobe Systems, Inc *",0.1853
"Aetna, Inc",0.18496
National City Corp,0.1846
"CBS Corp, (Class B)",0.18
"Best Buy Co, Inc",0.17941
ALLTEL Corp,0.17862
Chubb Corp,0.17862
SLM Corp,0.17843
PNC Financial Services Group,0.17741
Raytheon Co,0.17673
Kohl's Corp *,0.17657
Countrywide Financial Corp,0.17613
"HCA, Inc",0.17606
Fifth Third Bancorp,0.17526
Carnival Corp,0.17491
Symantec Corp *,0.17483
