Company,Weight
Exxon Mobil Corp.,3.04371
"Apple, Inc.*",2.50855
Microsoft Corp.,1.80594
General Electric Co.,1.68103
Johnson & Johnson,1.65278
The Procter & Gamble Co.,1.64616
International BusinessMachines Corp.,1.63597
"AT&T, Inc.",1.63451
Chevron Corp.,1.57456
JPMorgan Chase & Co.,1.46037
"Berkshire Hathaway, Inc. (Class B) *",1.38603
"Pfizer, Inc.",1.33523
TheCoca-ColaCo.,1.30573
Wells Fargo & Co.,1.2727
Bank of America Corp.,1.27214
"Google, Inc. (Class A)*",1.26601
"Cisco Systems, Inc.*",1.20969
"Merck & Co., Inc.",1.09557
Intel Corp.,1.03482
"Wal-Mart Stores, Inc.",1.03427
"PepsiCo, Inc.",1.0222
Oracle Corp.,1.00501
"Philip Morris International, Inc.",0.99307
Hewlett-Packard Co.,0.92209
"Citigroup, Inc.*",0.89808
"Verizon Communications, Inc.",0.89099
ConocoPhillips,0.82417
"Schlumberger, Ltd.",0.81394
Abbott Laboratories,0.77991
McDonald’s Corp.,0.767
"The Goldman Sachs Group, Inc.",0.7199
"QUALCOMM, Inc.",0.70021
United Technologies Corp.,0.64021
"United Parcel Service, Inc. (Class B)",0.63888
Occidental Petroleum Corp.,0.61509
The Walt Disney Co.,0.61219
3M Co.,0.598
"Amazon.com, Inc.*",0.53821
"Kraft Foods, Inc. (Class A)",0.52038
"Amgen, Inc.*",0.51059
"Home Depot, Inc.",0.51028
Comcast Corp. (Class A),0.49087
"Altria Group, Inc.",0.48382
"Caterpillar, Inc.",0.47771
The Boeing Co.,0.47044
Bristol-Myers Squibb Co.,0.4509
American Express Co.,0.42342
CVS Caremark Corp.,0.41421
Ford Motor Co.*,0.40746
EMC Corp.*,0.40379
U.S. Bancorp,0.40081
Union Pacific Corp.,0.39356
E. I. du Pont de Nemours & Co.,0.39098
"Freeport-McMoRan Copper &Gold, Inc.",0.38959
Emerson Electric Co.,0.38359
"UnitedHealth Group, Inc.",0.38178
Target Corp.,0.37275
Colgate-Palmolive Co.,0.36131
Eli Lilly & Co.,0.35851
"Visa, Inc. (Class A)",0.35825
"Medtronic, Inc.",0.35061
DIRECTV*,0.34852
Apache Corp.,0.34467
"MetLife, Inc.",0.33747
Morgan Stanley,0.33365
"Time Warner, Inc.",0.33332
"Honeywell International, Inc.",0.3256
Walgreen Co.,0.317
"Texas Instruments, Inc.",0.31359
The Dow Chemical Co.,0.30671
The Bank of New YorkMellon Corp.,0.30652
"Lowe’s Cos., Inc.",0.30243
"NIKE, Inc. (Class B)",0.30115
Newmont Mining Corp.,0.29847
Southern Co.,0.29696
Halliburton Co.,0.28955
"Gilead Sciences, Inc.*",0.28882
News Corp. (Class A),0.28828
Deere & Co.,0.28671
"Corning, Inc.",0.276
Costco Wholesale Corp.,0.27504
Anadarko Petroleum Corp.,0.27301
"eBay, Inc.*",0.27275
Devon Energy Corp.,0.27222
Exelon Corp.,0.27204
"Baxter International, Inc.",0.26955
"Praxair, Inc.",0.26713
"PNC Financial ServicesGroup, Inc.",0.26411
"Simon Property Group, Inc.",0.26249
FedEx Corp.,0.25904
Kimberly-Clark Corp.,0.25752
Celgene Corp.*,0.25679
"Express Scripts, Inc.*",0.25549
Monsanto Co.,0.25053
"Dominion Resources, Inc.",0.24878
"Prudential Financial, Inc.",0.24426
"The Travelers Cos., Inc.",0.23683
