Company,Weight
"Apple, Inc.",3.44472
Exxon Mobil Corp.,2.29025
Microsoft Corp.,2.17914
Johnson & Johnson,1.71644
General Electric Co.,1.46667
"Berkshire Hathaway, Inc. (Class B)(a)",1.43768
Wells Fargo & Co.,1.40704
JPMorgan Chase & Co.,1.29376
Chevron Corp.,1.29371
The Procter & Gamble Co.,1.29362
"Verizon Communications, Inc.",1.18313
"Pfizer, Inc.",1.07061
"AT&T, Inc.",1.04351
Bank of America Corp.,1.02456
International Business Machines Corp.,1.00581
Intel Corp.,0.98436
"Merck & Co., Inc.",0.97648
The Coca-Cola Co.,0.96105
"Google, Inc. (Class A)(a)",0.95443
"Google, Inc. (Class C)(a)",0.93641
"Gilead Sciences, Inc.(a)",0.91893
"Citigroup, Inc.",0.89703
"Facebook, Inc. (Class A)(a)",0.87898
The Walt Disney Co.,0.80292
"PepsiCo, Inc.",0.80093
Comcast Corp. (Class A),0.79475
"Schlumberger, Ltd.",0.75275
"Philip Morris International, Inc.",0.7439
"Cisco Systems, Inc.",0.73284
"QUALCOMM, Inc.",0.71556
Oracle Corp.,0.71118
"The Home Depot, Inc.",0.7051
"Amazon.com, Inc.(a)",0.69738
"Wal-Mart Stores, Inc.",0.68957
"Amgen, Inc.",0.60916
"Visa, Inc. (Class A)",0.59984
Union Pacific Corp.,0.5556
ConocoPhillips,0.53633
McDonald’s Corp.,0.53158
CVS Health Corp.,0.52634
"AbbVie, Inc.",0.52436
3M Co.,0.52395
"Altria Group, Inc.",0.52039
United Technologies Corp.,0.51292
The Boeing Co.,0.48798
Bristol-Myers Squibb Co.,0.48416
"UnitedHealth Group, Inc.",0.47852
American Express Co.,0.44991
"Biogen Idec, Inc.(a)",0.44605
"American International Group, Inc.",0.44016
Celgene Corp.(a),0.43339
U.S. Bancorp,0.43039
"The Goldman Sachs Group, Inc.",0.42952
Occidental Petroleum Corp.,0.42803
"Honeywell International, Inc.",0.41633
"MasterCard, Inc. (Class A)",0.4155
"United Parcel Service, Inc. (Class B)",0.39555
Hewlett-Packard Co.,0.37897
E. I. du Pont de Nemours & Co.,0.37626
"Twenty-First Century Fox, Inc. (Class A)",0.36881
"Time Warner, Inc.",0.3672
"eBay, Inc.(a)",0.36525
Actavis PLC(a),0.36439
Eli Lilly & Co.,0.36414
"NIKE, Inc. (Class B)",0.35837
Abbott Laboratories,0.35672
"Caterpillar, Inc.",0.35498
"Medtronic, Inc.",0.34653
"priceline.com, Inc.(a)",0.34639
"MetLife, Inc.",0.34515
EMC Corp.,0.33894
Monsanto Co.,0.33664
The Dow Chemical Co.,0.33632
"Mondelez International, Inc. (Class A)",0.32984
Ford Motor Co.,0.32758
Starbucks Corp.,0.32425
Colgate-Palmolive Co.,0.31973
Halliburton Co.,0.31325
Costco Wholesale Corp.,0.31324
"EOG Resources, Inc.",0.30894
"Allergan, Inc.",0.30234
Morgan Stanley,0.30201
Duke Energy Corp.,0.30187
Express Scripts Holding Co.(a),0.30073
"Lowe’s Cos., Inc.",0.29829
Walgreen Co.,0.29707
Accenture PLC (Class A),0.29445
Anadarko Petroleum Corp.,0.29249
"Simon Property Group, Inc.",0.29162
