Company,Weight
"Apple, Inc.",3.71714
Microsoft Corp.,2.09183
Exxon Mobil Corp.,1.83277
Johnson & Johnson,1.52679
General Electric Co.,1.50531
"Berkshire Hathaway, Inc. (Class B)(a)",1.44525
Wells Fargo & Co.,1.41884
JPMorgan Chase & Co.,1.33416
"Facebook, Inc. (Class A)(a)",1.20336
"AT&T, Inc.",1.18467
"Amazon.com, Inc.(a)",1.16065
Procter & Gamble Co.,1.15354
"Pfizer, Inc.",1.14518
"Alphabet, Inc. (Class A)(a)",1.0943
"Alphabet, Inc. (Class C)(a)",1.06481
"Verizon Communications, Inc.",1.0462
Bank of America Corp.,0.96402
Walt Disney Co.,0.93796
Coca-Cola Co.,0.92739
"Citigroup, Inc.",0.88246
Chevron Corp.,0.87745
"Home Depot, Inc.",0.87637
"Gilead Sciences, Inc.",0.85082
Intel Corp.,0.84707
"Merck & Co., Inc.",0.82175
"PepsiCo, Inc.",0.81874
"Visa, Inc. (Class A)",0.80378
"Cisco Systems, Inc.",0.78855
International Business Machines Corp.,0.77188
"Philip Morris International, Inc.",0.72648
Comcast Corp. (Class A),0.707
Oracle Corp.,0.69479
"UnitedHealth Group, Inc.",0.65397
CVS Health Corp.,0.63538
Allergan PLC(a),0.63253
"Altria Group, Inc.",0.63142
"Amgen, Inc.",0.62017
"Wal-Mart Stores, Inc.",0.60487
Bristol-Myers Squibb Co.,0.58356
Medtronic PLC,0.55946
McDonald’s Corp.,0.54826
"MasterCard, Inc. (Class A)",0.53212
"AbbVie, Inc.",0.53177
3M Co.,0.5233
"Schlumberger, Ltd.",0.51737
Celgene Corp.(a),0.50587
Starbucks Corp.,0.49853
"QUALCOMM, Inc.",0.49848
Boeing Co.,0.49431
"NIKE, Inc. (Class B)",0.49236
Eli Lilly & Co.,0.4815
Union Pacific Corp.,0.45335
"Honeywell International, Inc.",0.43759
United Technologies Corp.,0.43446
"American International Group, Inc.",0.43419
"Walgreens Boots Alliance, Inc.",0.42928
"Goldman Sachs Group, Inc.",0.41353
"United Parcel Service, Inc. (Class B)",0.40756
"Biogen, Inc.(a)",0.40479
U.S. Bancorp,0.40044
"Mondelez International, Inc. (Class A)",0.39869
"Lowe’s Cos., Inc.",0.37686
Costco Wholesale Corp.,0.37415
American Express Co.,0.37265
"priceline.com, Inc.(a)",0.37063
Accenture PLC (Class A),0.36207
Abbott Laboratories,0.35304
ConocoPhillips,0.34869
Colgate-Palmolive Co.,0.33823
"Simon Property Group, Inc.",0.33721
"Time Warner, Inc.",0.33135
Lockheed Martin Corp.,0.3272
Express Scripts Holding Co.(a),0.32255
Ford Motor Co.,0.31241
"MetLife, Inc.",0.30997
"Texas Instruments, Inc.",0.30034
Occidental Petroleum Corp.,0.2998
Danaher Corp.,0.2992
"Time Warner Cable, Inc.",0.29903
