iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 02, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,111,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","3,552,349,879.68","0.47","3,552,349,879.68","3,885,152.00","914.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","3,529,515,814.00","0.46","3,529,515,814.00","12,108,116.00","291.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","3,466,295,631.36","0.46","3,466,295,631.36","50,148,953.00","69.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","3,422,470,543.60","0.45","3,422,470,543.60","32,150,968.00","106.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","3,252,110,064.00","0.43","3,252,110,064.00","17,367,744.00","187.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","3,232,287,917.60","0.43","3,232,287,917.60","20,163,992.00","160.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","3,127,581,478.44","0.41","3,127,581,478.44","12,331,762.00","253.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","3,010,930,086.26","0.40","3,010,930,086.26","16,270,021.00","185.06","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2,883,592,709.91","0.38","2,883,592,709.91","4,866,741.00","592.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","2,846,055,239.70","0.37","2,846,055,239.70","15,646,263.00","181.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,797,551,362.02","0.37","2,797,551,362.02","9,224,927.00","303.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","2,797,322,995.17","0.37","2,797,322,995.17","22,524,543.00","124.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","2,774,558,257.10","0.37","2,774,558,257.10","10,319,330.00","268.87","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","2,751,202,129.90","0.36","2,751,202,129.90","23,177,777.00","118.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","2,595,533,626.84","0.34","2,595,533,626.84","6,048,644.00","429.11","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2,594,201,172.73","0.34","2,594,201,172.73","6,960,001.00","372.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,586,621,960.35","0.34","2,586,621,960.35","23,125,811.00","111.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","2,580,604,292.28","0.34","2,580,604,292.28","4,591,986.00","561.98","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,519,160,976.86","0.33","2,519,160,976.86","17,711,882.00","142.23","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","2,399,794,439.04","0.32","2,399,794,439.04","13,873,248.00","172.98","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","2,388,309,054.75","0.31","2,388,309,054.75","3,514,545.00","679.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","2,310,331,924.59","0.30","2,310,331,924.59","10,143,267.00","227.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","2,287,232,930.40","0.30","2,287,232,930.40","58,081,080.00","39.38","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","2,285,365,012.48","0.30","2,285,365,012.48","6,975,232.00","327.64","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","2,273,302,972.98","0.30","2,273,302,972.98","3,611,513.00","629.46","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","2,255,429,532.00","0.30","2,255,429,532.00","91,833,450.00","24.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","2,230,197,946.44","0.29","2,230,197,946.44","26,915,254.00","82.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","2,224,176,694.32","0.29","2,224,176,694.32","14,416,494.00","154.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","2,222,648,928.00","0.29","2,222,648,928.00","417,540.00","5,323.20","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,215,221,082.92","0.29","2,215,221,082.92","15,855,852.00","139.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,212,995,099.68","0.29","2,212,995,099.68","54,614,884.00","40.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","2,197,625,399.20","0.29","2,197,625,399.20","21,636,560.00","101.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","2,183,262,125.31","0.29","2,183,262,125.31","26,977,167.00","80.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","2,169,131,371.89","0.29","2,169,131,371.89","1,701,987.00","1,274.47","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","2,168,040,767.12","0.29","2,168,040,767.12","3,506,341.00","618.32","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","2,089,391,405.36","0.27","2,089,391,405.36","11,769,893.00","177.52","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","2,088,174,710.70","0.27","2,088,174,710.70","8,032,986.00","259.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","2,058,639,546.64","0.27","2,058,639,546.64","4,015,604.00","512.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","2,041,703,302.07","0.27","2,041,703,302.07","8,234,999.00","247.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","2,028,065,029.86","0.27","2,028,065,029.86","1,869,081.00","1,085.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","1,981,451,088.90","0.26","1,981,451,088.90","13,438,122.00","147.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","1,954,488,838.40","0.26","1,954,488,838.40","16,073,099.00","121.60","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,876,205,260.80","0.25","1,876,205,260.80","8,143,252.00","230.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,854,386,966.94","0.24","1,854,386,966.94","73,645,233.00","25.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","1,818,703,628.28","0.24","1,818,703,628.28","19,202,868.00","94.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,807,267,921.80","0.24","1,807,267,921.80","5,422,346.00","333.30","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,793,573,882.52","0.24","1,793,573,882.52","7,264,668.00","246.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","1,787,033,332.80","0.24","1,787,033,332.80","13,375,998.00","133.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,781,558,362.01","0.23","1,781,558,362.01","7,682,111.00","231.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","1,744,421,837.00","0.23","1,744,421,837.00","6,372,550.00","273.74","United States","NASDAQ","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","1,661,968,758.84","0.22","1,661,968,758.84","8,890,386.00","186.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","1,646,748,324.98","0.22","1,646,748,324.98","5,031,158.00","327.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,610,746,900.28","0.21","1,610,746,900.28","8,223,131.00","195.88","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","1,610,755,280.48","0.21","1,610,755,280.48","7,593,604.00","212.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,595,814,848.90","0.21","1,595,814,848.90","16,614,418.00","96.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
