Company,Weight
General Electric Co,4.52522
"Cisco Systems, Inc*",3.10472
Microsoft Corp*,2.51368
Exxon Mobil Corp,2.45904
"Pfizer, Inc",2.24535
Intel Corp,2.20961
"Citigroup, Inc",1.92619
Oracle Corp*,1.75581
"American International Group, Inc",1.75559
EMC Corp*,1.7077
"Wal-Mart Stores, Inc",1.70244
International Business Machines Corp,1.56877
"Sun Microsystems, Inc*",1.46683
Nortel Networks Corp,1.40902
"Merck & Co, Inc",1.35827
"SBC Communications, Inc",1.34231
Coca-Cola Co,1.08271
Verizon Communications,1.04535
Johnson & Johnson,1.03677
Royal Dutch Petroleum Co,1.01985
"America Online, Inc*",0.98046
"Home Depot, Inc (The)",0.97423
Bristol-Myers Squibb Co,0.88919
AT&T Corp,0.87474
"Time Warner, Inc",0.81749
"Morgan Stanley, Dean Witter, Discover and Co",0.81487
"Lucent Technologies, Inc",0.80816
Hewlett-Packard Co,0.76616
Lilly (Eli) & Co,0.72699
"Viacom, Inc*",0.70265
JDS Uniphase Corp*,0.70039
Procter & Gamble Co,0.69536
"Corning, Inc",0.69264
"Tyco Laboratories, Inc",0.69224
"WorldCom, Inc*",0.69038
Bank of America Corp,0.68141
"Texas Instruments, Inc",0.64585
American Express Co,0.64079
"Qwest Communications Intl, Inc",0.63215
Disney (Walt) Co (The),0.63091
Dell Computer Corp*,0.62994
Pharmacia Corp,0.6185
Wells Fargo & Co,0.59884
BellSouth Corp,0.59744
American Home  Products Corp,0.5853
Abbott Lab,0.58474
Fannie Mae,0.57158
"Amgen, Inc*",0.56895
Schering-Plough Corp,0.54025
"PepsiCo, Inc",0.52611
"Philip Morris Cos, Inc",0.5251
Enron Corp,0.51001
"Medtronic, Inc",0.49214
"Motorola, Inc",0.48324
Chase Manhattan Corp,0.47821
VERITAS Software Corp*,0.45203
Boeing Co,0.44776
Chevron Corp,0.44115
"Broadcom Corp, Class A*",0.42833
"Merrill Lynch & Co, Inc",0.41976
"QUALCOMM, Inc*",0.4192
"Yahoo, Inc*",0.39286
Schwab (Charles) Corp,0.38423
"Applied Materials, Inc*",0.3803
Ford Motor Co,0.37732
Schlumberger Ltd,0.37183
Compaq Computer Corp,0.37166
"Siebel Systems, Inc*",0.36712
Banc One Corp,0.35183
"Du Pont (EI) de Nemours& Co, Inc",0.34419
"Automatic Data Processing, Inc",0.3328
"Bank of New York, Inc",0.3281
McDonald's Corp,0.31579
"Network Appliance, Inc*",0.30884
"Anheuser-Busch Cos, Inc",0.30348
Walgreen Co,0.30347
Freddie Mac,0.29891
"Comcast Corp, Class A*",0.29252
Minnesota Mining &Manufacturing Co,0.28613
"Marsh & McLennan Cos, Inc",0.28469
"Nextel Communications, Inc, Class A*",0.28142
Fleet Boston Financial Corp,0.27894
General Motors Corp,0.27599
"Clear Channel Communications, Inc*",0.26159
MBNA Corp,0.26052
United Technologies Corp,0.25902
Gillette Co,0.25655
Sprint Corp (PCS Group)*,0.25505
First Union Corp,0.25114
Duke Energy Corp,0.25069
AES Corp*,0.24827
Kimberly-Clark Corp,0.23789
"Palm, Inc*",0.23648
"Analog Devices, Inc*",0.23188
"Texaco, Inc",0.23046
Emerson Electric Co,0.22736
"Honeywell International, Inc",0.22622
"Associates First Capital Corp, Class A",0.22012
"Xilinx, Inc*",0.21937
"Unilever NV, (NY Shares)",0.21929
Solectron Corp*,0.21889
Global Crossing Ltd*,0.21734
Colgate-Palmolive Co,0.21633
"Household International, Inc",0.21303
"JP Morgan & Co, Inc",0.20592
Sprint Corp,0.20459
"Micron Technology, Inc*",0.20315
Allstate Corp,0.20209
Seagram Co Ltd (The),0.19931
Fifth Third Bancorp,0.19885
"Cardinal Health, Inc",0.19328
PE Corp - PE Biosystems Group,0.19307
Target Corp,0.1858
"Baxter International, Inc",0.18436
"Safeway, Inc*",0.18433
Mellon Financial Corp,0.18102
"Maxim Integrated Products, Inc*",0.18092
"Agilent Technologies, Inc*",0.17597
"Alcoa, Inc",0.17397
Halliburton Co,0.17286
Guidant Corp*,0.17134
"Washington Mutual, Inc",0.16994
Firstar Corp,0.16984
Southern Co,0.1673
State Street Corp,0.16645
HCA-The Healthcare Co,0.16467
Linear Technology Corp,0.16018
Bestfoods,0.15905
Northern Trust Corp,0.15586
"Tellabs, Inc*",0.155
American General Corp,0.15443
"Paychex, Inc",0.15395
Electronic Data Systems Corp,0.15379
Altera Corp*,0.15122
PNC Financial Services Group,0.15008
Kohl's Corp*,0.14939
Kroger Co*,0.14909
"Williams Cos, Inc (The)",0.14847
"Adobe Systems, Inc",0.14779
"ADC Telecommunications, Inc*",0.14498
Providian Financial Corp,0.14388
CVS Corp,0.14359
"Lehman Brothers Holdings, Inc",0.14201
Sara Lee Corp,0.14046
"Gap, Inc (The)",0.13617
"Lowes Cos, Inc",0.13573
US Bancorp,0.13545
Dow Chemical Co,0.13388
"Aflac, Inc",0.13367
"Illinois Tool Works, Inc",0.13348
"Conoco, Inc, Class B",0.1328
Alltel Corp,0.13071
"Comverse Technology, Inc*",0.13042
CIGNA Corp,0.13037
"MedImmune, Inc*",0.1283
Anadarko Petroleum Corp,0.12828
First Data Corp,0.12781
"United Health Group, Inc",0.12731
Coastal Corp,0.12612
Phillips Petroleum Co,0.12555
Hartford Financial Services Group,0.12535
Costco Wholesale Corp*,0.12411
"Seagate Technology, Inc*",0.12331
SYSCO Corp,0.12273
"Gateway 2000, Inc*",0.11963
"SunTrust Banks, Inc",0.11961
Carnival Corp,0.11802
"Computer Associates International, Inc",0.11799
"Harley-Davidson, Inc",0.1155
El Paso Energy Corp,0.11329
"Gannett Co, Inc",0.11215
Lockheed Martin Corp,0.11197
Sanmina Corp*,0.11074
Chubb Corp,0.10996
"Dominion Resources, Inc",0.10994
International Paper Co,0.1094
"Reliant Energy, Inc",0.10923
Capital One Financial Corp,0.10918
Tribune Co,0.10692
National City Corp,0.10669
Heinz (HJ) Co,0.10396
"Best Buy Co, Inc*",0.10369
"Omnicom Group, Inc",0.10247
FedEx Corp*,0.10209
Eastman Kodak Co,0.10059
"American Electric Power Co, Inc",0.10009
General Dynamics Corp,0.10008
Mercury Interactive Corp*,0.099
"Transocean Sedco Forex, Inc",0.09819
"McGraw-Hill, Inc",0.09807
Computer Sciences Corp*,0.09771
"Baker Hughes, Inc",0.09749
Radio Shack Corp,0.0959
Southwest Airlines Co,0.09576
BB&T Corp,0.09417
"Caterpillar, Inc",0.09346
"FPL Group, Inc",0.09319
Tenet Healthcare Corp,0.09053
Wachovia Corp,0.09011
"Sears, Roebuck & Co",0.08804
Keycorp,0.0874
"Nike, Inc, Class B",0.08706
Campbell Soup Co,0.08692
"Allergan Pharmaceuticals, Inc",0.08665
"Waste Management, Inc",0.08613
"Franklin Resources, Inc",0.08608
