Company,Weight
Exxon Mobil Corp,3.5318
Microsoft Corp,2.14971
General Electric Co,1.86898
JPMorgan Chase & Co,1.84574
Procter & Gamble Co,1.81081
Johnson & Johnson,1.79732
"Apple, Inc *",1.77861
"AT&T, Inc",1.70688
International Business Machines Corp,1.67945
Bank of America Corp,1.56793
Chevron Corp,1.5129
"Cisco Systems, Inc *",1.45428
Wells Fargo & Co,1.41004
Coca-Cola Co,1.3325
"Google, Inc (Class A) *",1.27777
Hewlett-Packard Co,1.19898
"Pfizer, Inc",1.19639
Intel Corp,1.1734
"Wal-Mart Stores, Inc",1.13571
"Philip Morris International, Inc",1.00992
"Goldman Sachs Group, Inc",1.00942
"PepsiCo, Inc",0.97881
"Verizon Communications, Inc",0.92099
Oracle Corp,0.87174
Abbott Laboratories,0.81913
"QUALCOMM, Inc",0.80066
"Schlumberger, Ltd",0.76465
ConocoPhillips,0.71728
"Merck & Co, Inc",0.71446
Wyeth,0.69469
Occidental Petroleum Corp,0.68084
"Citigroup, Inc",0.67589
McDonald's Corp,0.66714
"Amgen, Inc *",0.65524
United Technologies Corp,0.6143
"United Parcel Service, Inc (Class B)",0.6015
CVS Caremark Corp,0.5525
3M Co,0.55199
The Walt Disney Co,0.54665
Comcast Corp (Class A),0.51917
Schering-Plough Corp,0.4944
"Home Depot, Inc",0.48603
Bristol-Myers Squibb Co,0.47782
Monsanto Co,0.45257
"Gilead Sciences, Inc *",0.45116
Morgan Stanley,0.44836
US Bancorp,0.44766
"Medtronic, Inc",0.43626
American Express Co,0.4318
Boeing Co,0.42132
"Kraft Foods, Inc (Class A)",0.41502
Colgate-Palmolive Co,0.40723
Walgreen Co,0.39829
"Altria Group, Inc",0.39513
Target Corp,0.37593
Bank of New York Mellon Corp,0.37265
EMC Corp *,0.3688
"Baxter International, Inc",0.36804
"Time Warner, Inc",0.36549
Eli Lilly & Co,0.35772
Exelon Corp,0.35029
"Caterpillar, Inc",0.34157
"MetLife, Inc",0.33381
"Amazoncom, Inc *",0.33244
"Lowe's Cos, Inc",0.33139
Apache Corp,0.33023
Anadarko Petroleum Corp,0.32961
Emerson Electric Co,0.32265
"Texas Instruments, Inc",0.32008
Devon Energy Corp,0.32005
Dow Chemical Co,0.31934
Union Pacific Corp,0.31517
"UnitedHealth Group, Inc",0.31178
Du Pont (EI) de Nemours & Co,0.31106
"Freeport-McMoRan Copper & Gold, Inc",0.30261
"The Travelers Cos, Inc",0.29929
"Honeywell International, Inc",0.29925
News Corp (Class A),0.28875
"eBay, Inc *",0.28387
"Dell, Inc *",0.28129
"Medco Health Solutions, Inc *",0.28066
State Street Corp(a),0.2786
Celgene Corp *,0.27461
Lockheed Martin Corp,0.27003
Southern Co,0.27003
"NIKE, Inc (Class B)",0.26956
"Praxair, Inc",0.26845
General Dynamics Corp,0.26646
Costco Wholesale Corp,0.26298
Kimberly-Clark Corp,0.26186
Halliburton Co,0.26159
"XTO Energy, Inc",0.25677
"Corning, Inc",0.25493
FedEx Corp,0.25181
Ford Motor Co *,0.24877
"Prudential Financial, Inc",0.24751
"FPL Group, Inc",0.24341
Marathon Oil Corp,0.24182
"WellPoint, Inc *",0.24099
"PNC Financial Services Group, Inc",0.24013
Newmont Mining Corp (Holding Co),0.23103
"Express Scripts, Inc *",0.22801
"Yahoo!, Inc *",0.22765
"EOG Resources, Inc",0.22477
"General Mills, Inc",0.22439
