iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2012"
Inception Date,"May 15, 2000"
Shares Outstanding,"243,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL*","APPLE INC","Information Technology","Equity","1,369,604,061.07","3.92","-","2,569,469.00","533.03","United States","Bolsa Mexicana De Valores","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","1,077,953,073.30","3.09","-","12,454,686.00","86.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEC","GENERAL ELECTRIC","Industrials","Equity","601,247,215.40","1.72","-","28,644,460.00","20.99","United States","Deutsche Boerse Xetra","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","578,132,444.72","1.66","-","5,346,148.00","108.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","555,766,234.80","1.59","-","2,901,416.00","191.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","553,052,547.63","1.58","-","20,690,331.00","26.73","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","530,624,754.00","1.52","-","7,569,540.00","70.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Telecommunication Services","Equity","523,051,034.58","1.50","-","15,516,198.00","33.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOGL","GOOGLE INC CLASS A","Information Technology","Equity","515,716,955.59","1.48","-","727,007.00","709.37","United States","Spot Regulated Market - Bvb","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","507,061,041.18","1.45","-","7,468,862.00","67.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","504,418,916.76","1.44","-","20,112,397.00","25.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC*","WELLS FARGO","Financials","Equity","457,092,216.20","1.31","-","13,373,090.00","34.18","United States","Bolsa Mexicana De Valores","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE","Financials","Equity","456,563,726.16","1.31","-","10,383,528.00","43.97","United States","London Stock Exchange","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","446,935,093.80","1.28","-","4,982,554.00","89.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","381,941,201.25","1.09","-","10,536,309.00","36.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","381,676,335.72","1.09","-","4,563,323.00","83.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","342,132,292.32","0.98","-","10,268,076.00","33.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","341,509,069.20","0.98","-","29,440,437.00","11.60","United States","SIX Swiss Exchange","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","339,968,871.44","0.97","-","8,304,076.00","40.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Telecommunication Services","Equity","337,309,640.74","0.97","-","7,795,462.00","43.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","316,884,936.16","0.91","-","8,010,236.00","39.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","311,735,023.55","0.89","-","4,568,885.00","68.23","United States","Bolsa De Valores De Lima","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","289,142,479.68","0.83","-","4,225,376.00","68.43","United States","NASDAQ","USD","1.00","USD","-"
"QCI","QUALCOMM INC","Information Technology","Equity","288,675,997.26","0.83","-","4,654,563.00","62.02","United States","Deutsche Boerse Xetra","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","284,964,417.90","0.82","-","14,502,006.00","19.65","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","282,793,433.50","0.81","-","4,317,457.00","65.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INCO","INTEL CORPORATION CORP","Information Technology","Equity","280,410,820.03","0.80","-","13,592,381.00","20.63","United States","Euronext Amsterdam","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Consumer Discretionary","Equity","271,326,542.76","0.78","-","7,258,602.00","37.38","United States","NASDAQ","USD","1.00","USD","-"
