Company,Weight
"Apple, Inc.",4.85563
Exxon Mobil Corp.,3.27745
General Electric Co.,1.86166
Chevron Corp.,1.77565
Microsoft Corp.,1.74403
International Business Machines Corp.,1.73224
"AT&T, Inc.",1.68892
"Google, Inc. (Class A)(a)",1.55043
The Procter & Gamble Co.,1.4829
Johnson & Johnson,1.47481
"Pfizer, Inc.",1.44103
Wells Fargo & Co.,1.31876
"Berkshire Hathaway, Inc. (Class B)(a)",1.25473
JPMorgan Chase & Co.,1.19382
"Philip Morris International, Inc.",1.17726
The Coca-Cola Co.,1.14032
"Merck & Co., Inc.",1.06631
"Verizon Communications, Inc.",1.00779
"Wal-Mart Stores, Inc.",0.96338
Oracle Corp.,0.93131
Intel Corp.,0.88096
"PepsiCo, Inc.",0.8551
Abbott Laboratories,0.83531
"QUALCOMM, Inc.",0.82643
"Cisco Systems, Inc.",0.78376
"Schlumberger, Ltd.",0.74523
"Citigroup, Inc.",0.74488
Comcast Corp. (Class A),0.74314
Bank of America Corp.,0.73875
The Walt Disney Co.,0.72817
McDonald’s Corp.,0.71841
"Amazon.com, Inc.(a)",0.71398
"The Home Depot, Inc.",0.70818
"Kraft Foods, Inc. (Class A)",0.56967
"Visa, Inc. (Class A)",0.5444
Occidental Petroleum Corp.,0.54113
ConocoPhillips,0.53954
"Altria Group, Inc.",0.52694
United Technologies Corp.,0.51062
U.S. Bancorp,0.50467
"Amgen, Inc.",0.50462
CVS Caremark Corp.,0.47829
3M Co.,0.45707
EMC Corp.(a),0.44431
"UnitedHealth Group, Inc.",0.44426
Bristol-Myers Squibb Co.,0.43996
Union Pacific Corp.,0.43648
"Caterpillar, Inc.",0.43634
American Express Co.,0.43632
"eBay, Inc.(a)",0.4358
"United Parcel Service, Inc. (Class B)",0.39937
"The Goldman Sachs Group, Inc.",0.39835
Express Scripts Holding Co.(a),0.3944
"Gilead Sciences, Inc.(a)",0.38959
News Corp. (Class A),0.38794
Monsanto Co.,0.37659
"MasterCard, Inc. (Class A)",0.37616
Eli Lilly & Co.,0.37585
Colgate-Palmolive Co.,0.37147
The Boeing Co.,0.36639
E. I. du Pont de Nemours & Co.,0.36313
"Honeywell International, Inc.",0.36205
"Simon Property Group, Inc.",0.35751
