Company,Weight
"Apple, Inc.",7.00515
Microsoft Corp.,6.53134
"Amazon.com, Inc. (a)",3.2134
NVIDIA Corp.,2.9913
"Alphabet, Inc. Class A (a)",2.16155
"Tesla, Inc. (a)",1.92394
"Meta Platforms, Inc. Class A (a)",1.85793
"Alphabet, Inc. Class C (a)",1.85289
"Berkshire Hathaway, Inc. Class B (a)",1.77884
Exxon Mobil Corp.,1.31066
"UnitedHealth Group, Inc.",1.30048
Eli Lilly & Co.,1.19263
JPMorgan Chase & Co.,1.17351
Johnson & Johnson,1.04432
"Visa, Inc. Class A",1.02908
Procter & Gamble Co.,0.95741
"Broadcom, Inc.",0.95441
"Mastercard, Inc. Class A",0.91724
"Home Depot, Inc.",0.84591
Chevron Corp.,0.83306
"AbbVie, Inc.",0.73259
"Merck & Co., Inc.",0.72741
Costco Wholesale Corp.,0.6971
"PepsiCo, Inc.",0.64947
"Adobe, Inc. (a)",0.64716
"Walmart, Inc.",0.63556
"Cisco Systems, Inc.",0.61001
Coca-Cola Co.,0.60666
"Salesforce, Inc. (a)",0.54996
"Thermo Fisher Scientific, Inc.",0.54394
Accenture PLC Class A,0.53943
McDonald's Corp.,0.53457
Bank of America Corp.,0.52707
"Pfizer, Inc.",0.52147
Comcast Corp. Class A,0.50815
Linde PLC,0.5059
Abbott Laboratories,0.468
"Netflix, Inc. (a)",0.46592
Oracle Corp.,0.46431
"Advanced Micro Devices, Inc. (a)",0.46263
Danaher Corp.,0.45398
Wells Fargo & Co.,0.41628
Intel Corp.,0.4143
Walt Disney Co. (a),0.41318
"Texas Instruments, Inc.",0.40203
"Amgen, Inc.",0.40047
"Philip Morris International, Inc.",0.40012
ConocoPhillips,0.39947
"Intuit, Inc.",0.39842
"Caterpillar, Inc.",0.38779
"Verizon Communications, Inc.",0.3794
International Business Machines Corp.,0.35596
Union Pacific Corp.,0.34556
"QUALCOMM, Inc.",0.34507
"Honeywell International, Inc.",0.34155
"Lowe's Cos., Inc.",0.33912
Bristol-Myers Squibb Co.,0.33763
General Electric Co.,0.33503
"S&P Global, Inc.",0.33107
"NIKE, Inc. Class B",0.32618
"Applied Materials, Inc.",0.32373
"NextEra Energy, Inc.",0.32283
"ServiceNow, Inc. (a)",0.31749
"United Parcel Service, Inc. Class B",0.31392
"Booking Holdings, Inc. (a)",0.30641
Boeing Co. (a),0.30285
"AT&T, Inc.",0.29877
"Goldman Sachs Group, Inc.",0.29703
RTX Corp.,0.29169
Starbucks Corp.,0.29109
Medtronic PLC,0.29041
Morgan Stanley,0.29014
"Prologis, Inc. REIT",0.28859
Deere & Co.,0.28652
"Intuitive Surgical, Inc. (a)",0.28582
"Elevance Health, Inc.",0.2857
"TJX Cos., Inc.",0.28442
"Automatic Data Processing, Inc.",0.27599
"Mondelez International, Inc. Class A",0.2629
"Marsh & McLennan Cos., Inc.",0.26175
"Gilead Sciences, Inc.",0.26001
Stryker Corp.,0.25714
Lockheed Martin Corp.,0.25522
"BlackRock, Inc.",0.25261
CVS Health Corp.,0.24971
"Vertex Pharmaceuticals, Inc. (a)",0.24946
"Regeneron Pharmaceuticals, Inc. (a)",0.24456
"Analog Devices, Inc.",0.24446
American Express Co.,0.24169
Chubb Ltd.,0.23809
Eaton Corp. PLC,0.2367
Cigna Group,0.23577
Lam Research Corp.,0.23262
Schlumberger NV,0.23068
Charles Schwab Corp.,0.22732
Progressive Corp.,0.22707
"Zoetis, Inc.",0.22301
"Citigroup, Inc.",0.22055
Boston Scientific Corp. (a),0.21527
American Tower Corp. REIT,0.21333
"Blackstone, Inc.",0.21174
Becton Dickinson & Co.,0.20883
"Altria Group, Inc.",0.20779
"Micron Technology, Inc.",0.20715
"EOG Resources, Inc.",0.20551
"T-Mobile U.S., Inc. (a)",0.20187
"CME Group, Inc.",0.20067
"Palo Alto Networks, Inc. (a)",0.19967
Southern Co.,0.1963
"Synopsys, Inc. (a)",0.19444
