iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2007"
Inception Date,"May 15, 2000"
Shares Outstanding,"121,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Consumer Discretionary","Equity","6,358,348.62","0.04","-","8,034.00","791.43","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"MDP","MEREDITH CORP","Consumer Discretionary","Equity","2,931,588.58","0.02","-","53,321.00","54.98","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"GAS.2","NICOR INC","Utilities","Equity","2,619,135.75","0.01","-","61,845.00","42.35","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","7,444,852.17","0.04","-","62,087.00","119.91","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"MIL.","MILLIPORE CORP","Health Care","Equity","5,444,811.54","0.03","-","74,403.00","73.18","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"MX4A","CME GROUP INC CLASS A","Financials","Equity","51,602,978.00","0.29","-","75,223.00","686.00","United States","Boerse Berlin","USD","1.00","-","-"
"ASH","ASHLAND GLOBAL INC","Materials","Equity","3,658,939.92","0.02","-","77,144.00","47.43","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"SNA","SNAP ON INC","Consumer Discretionary","Equity","3,874,347.36","0.02","-","80,314.00","48.24","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"R","RYDER SYSTEM INC","Industrials","Equity","3,854,020.83","0.02","-","81,983.00","47.01","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"RL","POLO RALPH LAUREN CORP.","Consumer Discretionary","Equity","5,126,716.30","0.03","-","82,970.00","61.79","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"DDS","DILLARDS INC CLASS A","Consumer Discretionary","Equity","1,570,702.86","0.01","-","83,637.00","18.78","United States","New York Stock Exchange Inc.","USD","1.00","-","-"
"HAR","HARMAN INTERNATIONAL INC","Consumer Discretionary","Equity","6,286,209.93","0.04","-","85,283.00","73.71","United States","-","USD","1.00","-","-"
