Company,Weight
"Apple, Inc.",3.25163
Microsoft Corp.,2.39661
Exxon Mobil Corp.,1.92443
"Amazon.com, Inc.(a)",1.76063
Johnson & Johnson,1.72751
"Facebook, Inc. Class A(a)",1.59179
"Berkshire Hathaway, Inc.Class B(a)",1.4657
General Electric Co.,1.41708
"AT&T, Inc.",1.32931
JPMorgan Chase & Co.,1.2846
Procter & Gamble Co.,1.27972
"Alphabet, Inc. Class A(a)",1.26664
"Alphabet, Inc. Class C(a)",1.22076
"Verizon Communications, Inc.",1.12668
"Pfizer, Inc.",1.09231
Wells Fargo & Co.,1.07392
Chevron Corp.,1.03146
Intel Corp.,0.94789
"Merck & Co., Inc.",0.91854
Coca-Cola Co.,0.87612
Bank of America Corp.,0.85605
Comcast Corp. Class A,0.85271
"Home Depot, Inc.",0.85094
"Cisco Systems, Inc.",0.84835
"Visa, Inc. Class A",0.83739
"PepsiCo, Inc.",0.8353
"Philip Morris International, Inc.",0.80197
Walt Disney Co.,0.73835
International Business Machines Corp.,0.73766
"Citigroup, Inc.",0.73757
"UnitedHealth Group, Inc.",0.70782
"Amgen, Inc.",0.66623
"Altria Group, Inc.",0.65777
Medtronic PLC,0.63745
Oracle Corp.,0.63153
"Wal-Mart Stores, Inc.",0.58541
"Schlumberger, Ltd.",0.58105
3M Co.,0.56831
"Gilead Sciences, Inc.",0.56006
"AbbVie, Inc.",0.54253
"QUALCOMM, Inc.",0.53501
McDonald’s Corp.,0.52615
"MasterCard, Inc. Class A",0.52246
CVS Health Corp.,0.50801
Allergan PLC(a),0.48455
Bristol-Myers Squibb Co.,0.47862
"Honeywell International, Inc.",0.47242
Union Pacific Corp.,0.43724
Celgene Corp.(a),0.43054
Starbucks Corp.,0.4217
United Technologies Corp.,0.42045
Eli Lilly & Co.,0.41454
Boeing Co.,0.40874
Accenture PLC Class A,0.40637
"United Parcel Service, Inc.Class B",0.40149
"Priceline Group, Inc.(a)",0.38871
"Texas Instruments, Inc.",0.37474
"NIKE, Inc. Class B",0.37281
US Bancorp,0.37102
"Walgreens Boots Alliance, Inc.",0.37036
"Broadcom, Ltd.",0.36577
"Biogen, Inc.(a)",0.36459
"Mondelez International, Inc.Class A",0.36227
Costco Wholesale Corp.,0.35538
Colgate-Palmolive Co.,0.35203
"Simon Property Group, Inc. REIT",0.34069
"Lowe’s Cos., Inc.",0.34002
"Thermo Fisher Scientific, Inc.",0.33404
"Time Warner, Inc.",0.33321
Abbott Laboratories,0.33014
"Goldman Sachs Group, Inc.",0.32467
Lockheed Martin Corp.,0.32375
"American International Group, Inc.",0.32245
"Charter Communications, Inc.Class A(a)",0.31181
E.I. du Pont de Nemours & Co.,0.3111
"Chubb, Ltd.",0.31023
Dow Chemical Co.,0.30947
"NextEra Energy, Inc.",0.30025
Occidental Petroleum Corp.,0.29615
Duke Energy Corp.,0.29322
"Adobe Systems, Inc.(a)",0.28868
ConocoPhillips,0.28627
Kraft Heinz Co.,0.28358
"EOG Resources, Inc.",0.28303
"Caterpillar, Inc.",0.2756
Southern Co.,0.26926
American Express Co.,0.26601
"TJX Cos., Inc.",0.26283
"MetLife, Inc.",0.25955
Morgan Stanley,0.25764
American Tower Corp. REIT,0.25586
Ford Motor Co.,0.25044
Danaher Corp.,0.24984
"Dominion Resources, Inc.",0.24354
"salesforce.com, Inc.(a)",0.24165
"PayPal Holdings, Inc.(a)",0.24156
Kimberly-Clark Corp.,0.24119
"PNC Financial Services Group, Inc.",0.23907
Monsanto Co.,0.23842
"Kinder Morgan, Inc.",0.23837
Express Scripts Holding Co.(a),0.23729
General Dynamics Corp.,0.23699
General Motors Co.,0.23665
"BlackRock, Inc.",0.23607
Johnson Controls International PLC,0.23383
FedEx Corp.,0.2317
Bank of New York Mellon Corp.,0.22837
"Netflix, Inc.(a)",0.22446
Raytheon Co.,0.21556
"Aetna, Inc.",0.21525
Target Corp.,0.21503
"Automatic Data Processing, Inc.",0.21374
"Reynolds American, Inc.",0.20758
"Illinois Tool Works, Inc.",0.20621
Halliburton Co.,0.20507
Northrop Grumman Corp.,0.20505
Becton Dickinson and Co.,0.20282
"General Mills, Inc.",0.20193
Charles Schwab Corp.,0.2019
Hewlett Packard Enterprise Co.,0.20095
"Yahoo!, Inc.(a)",0.20029
McKesson Corp.,0.19951
NVIDIA Corp.,0.19701
Capital One Financial Corp.,0.19551
Stryker Corp.,0.19439
"Prudential Financial, Inc.",0.19281
Phillips 66,0.19188
"CME Group, Inc.",0.18822
Emerson Electric Co.,0.18647
"Marsh & McLennan Cos., Inc.",0.18635
"eBay, Inc.(a)",0.18483
Anadarko Petroleum Corp.,0.1844
"Praxair, Inc.",0.18329
"Yum! Brands, Inc.",0.18017
"Travelers Cos., Inc.",0.17889
"S&P Global, Inc.",0.17786
Cigna Corp.,0.17776
"Anthem, Inc.",0.17522
"Air Products & Chemicals, Inc.",0.17521
Public Storage REIT,0.17492
"Applied Materials, Inc.",0.17453
Boston Scientific Corp.(a),0.17175
"Ecolab, Inc.",0.17171
"Intercontinental Exchange, Inc.(b)",0.1706
Crown Castle International Corp. REIT,0.1688
"American Electric Power Co., Inc.",0.16775
"Regeneron Pharmaceuticals, Inc.(a)",0.16623
BB&T Corp.,0.16462
"Activision Blizzard, Inc.",0.16325
Exelon Corp.,0.16318
"Delta Air Lines, Inc.",0.16218
Pioneer Natural Resources Co.,0.1616
PG&E Corp.,0.16139
Eaton Corp. PLC,0.15996
Aon PLC,0.15842
"Aflac, Inc.",0.1583
"Constellation Brands, Inc.Class A",0.1562
Spectra Energy Corp.,0.15567
CSX Corp.,0.15556
Cognizant Technology Solutions Corp. Class A(a),0.15399
Norfolk Southern Corp.,0.15326
Kroger Co.,0.15048
"Prologis, Inc. REIT",0.14957
"Intuit, Inc.",0.14951
"Intuitive Surgical, Inc.(a)",0.14675
LyondellBasell Industries NVClass A,0.14654
"Alexion Pharmaceuticals, Inc.(a)",0.14624
"PPG Industries, Inc.",0.14609
"O’Reilly Automotive, Inc.(a)",0.14421
Sempra Energy,0.14412
"Illumina, Inc.(a)",0.1422
"Welltower, Inc. REIT",0.14194
"HP, Inc.",0.14178
"Twenty-First Century Fox, Inc. Class A",0.14099
"Humana, Inc.",0.1402
"Waste Management, Inc.",0.13995
"Zoetis, Inc.",0.13871
Allstate Corp.,0.13856
"Zimmer Biomet Holdings, Inc.",0.13824
"Ross Stores, Inc.",0.13789
State Street Corp.(c),0.137
"Electronic Arts, Inc.(a)",0.13697
Edwards Lifesciences Corp.(a),0.13663
Sysco Corp.,0.13628
"Fidelity National Information Services, Inc.",0.13627
"Cardinal Health, Inc.",0.13548
Deere & Co.,0.13513
"Newell Brands, Inc.",0.13508
"Corning, Inc.",0.13508
"Equinix, Inc. REIT",0.13306
Valero Energy Corp.,0.13203
Southwest Airlines Co.,0.13199
