iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 16, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,102,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","58,344,562,280.51","7.62","58,344,562,280.51","313,293,037.00","186.23","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","48,680,356,433.06","6.36","48,680,356,433.06","190,507,402.00","255.53","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","44,065,391,950.84","5.75","44,065,391,950.84","95,823,494.00","459.86","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","29,990,817,535.28","3.92","29,990,817,535.28","125,421,619.00","239.12","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","24,753,263,700.00","3.23","24,753,263,700.00","75,009,890.00","330.00","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","21,413,539,776.80","2.80","21,413,539,776.80","60,884,080.00","351.71","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","19,804,361,001.98","2.59","19,804,361,001.98","59,951,447.00","330.34","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","17,415,915,396.00","2.27","17,415,915,396.00","28,078,864.00","620.25","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","15,849,677,375.00","2.07","15,849,677,375.00","36,227,834.00","437.50","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,662,301,012.04","1.52","11,662,301,012.04","23,641,876.00","493.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","10,966,871,454.26","1.43","10,966,871,454.26","35,097,358.00","312.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","10,631,608,556.80","1.39","10,631,608,556.80","10,238,452.00","1,038.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","7,143,194,407.30","0.93","7,143,194,407.30","21,758,131.00","328.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","7,062,218,535.96","0.92","7,062,218,535.96","54,370,764.00","129.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","6,792,095,418.94","0.89","6,792,095,418.94","31,062,359.00","218.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","6,767,299,709.10","0.88","6,767,299,709.10","56,535,503.00","119.70","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","5,703,173,757.33","0.74","5,703,173,757.33","10,571,417.00","539.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","5,505,879,636.05","0.72","5,505,879,636.05","5,713,805.00","963.61","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","5,249,606,998.50","0.69","5,249,606,998.50","14,471,694.00","362.75","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","5,034,987,751.52","0.66","5,034,987,751.52","29,451,262.00","170.96","United States","NASDAQ","USD","1.00","USD","-"
